Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
4.07,0.074,0.0895,-0.332,0.352,Circle
4.08,0.00502,0.0807,-0.387,0.395,Circle
4.09,0.263,0.204,-0.321,0.463,Circle
4.1,0.362,0.323,-0.704,0.856,Circle
4.11,0.313,0.287,-0.132,0.445,Circle
4.12,0.17,0.306,3.53,3.54,Circle
4.13,0.443,-0.713,3.85,3.94,Circle
4.14,-0.288,0.768,0.199,0.844,Circle
4.15,-1.1,1.92,1.23,2.53,Circle
4.16,-1.06,2.41,-2.25,3.46,Circle
4.17,-0.618,0.385,-3.77,3.84,Circle
4.18,-0.842,-1.73,-0.359,1.95,Circle
4.19,0.83,-2.14,0.458,2.34,Circle
4.2,1.35,-1.46,0.34,2.02,Circle
4.21,1.11,-0.449,0.705,1.39,Circle
4.22,0.0624,-0.319,0.308,0.448,Circle
4.23,-0.302,-0.683,0.385,0.84,Circle
4.24,-0.692,-1.14,0.174,1.34,Circle
4.25,-1.15,-1.64,-0.00871,2.0,Circle
4.26,-1.56,-1.63,2.01,3.02,Circle
4.27,-2.35,-1.49,3.98,4.85,Circle
4.28,-3.06,-1.04,4.83,5.81,Circle
4.29,-3.34,-0.717,4.63,5.75,Circle
4.3,-2.99,-0.617,3.67,4.78,Circle
4.31,-2.48,-0.675,2.32,3.46,Circle
4.32,-1.8,-0.552,0.991,2.12,Circle
4.33,-1.09,-0.282,-0.324,1.17,Circle
4.34,-0.475,0.0896,-1.14,1.24,Circle
4.35,-0.217,-0.085,-1.28,1.3,Circle
4.36,-0.0237,-1.53,-1.03,1.85,Circle
4.37,0.889,-1.84,-1.15,2.35,Circle
4.38,1.73,-1.04,-1.51,2.52,Circle
4.39,1.56,-0.457,-1.57,2.26,Circle
4.4,0.824,-0.07,-1.15,1.42,Circle
4.41,-0.0874,0.252,-0.409,0.488,Circle
4.42,-0.604,0.45,0.503,0.905,Circle
4.43,-0.666,0.538,1.43,1.67,Circle
4.44,-0.702,0.663,1.94,2.17,Circle
4.45,-0.777,0.904,1.78,2.14,Circle
4.46,-0.817,0.97,1.35,1.85,Circle
4.47,-0.691,0.703,1.15,1.52,Circle
4.48,-0.504,0.561,1.29,1.5,Circle
4.49,-0.356,0.674,1.51,1.69,Circle
4.5,-0.355,0.879,1.56,1.82,Circle
4.51,-0.533,1.06,1.6,1.99,Circle
4.52,-0.831,1.16,1.73,2.24,Circle
4.53,-0.963,1.16,1.92,2.44,Circle
4.54,-0.689,0.88,2.11,2.39,Circle
4.55,-0.242,0.629,2.22,2.32,Circle
4.56,0.269,0.613,2.09,2.19,Circle
4.57,0.656,0.728,1.84,2.08,Circle
4.58,0.807,0.73,1.57,1.91,Circle
4.59,0.936,0.887,1.51,1.99,Circle
4.6,0.843,1.03,1.65,2.12,Circle
4.61,0.617,1.08,1.88,2.26,Circle
4.62,0.582,1.09,2.13,2.46,Circle
4.63,0.749,1.01,2.46,2.77,Circle
4.64,1.09,0.918,2.8,3.15,Circle
4.65,1.67,0.624,3.14,3.61,Circle
4.66,2.3,0.405,3.18,3.95,Circle
4.67,2.73,0.315,2.86,3.97,Circle
