"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.889287500E-2,-3.349693746E-2,-2.487131450E-2,2.192939758E-2,4.713306252E-2
3.893087500E-2,-1.702309714E-2,-1.233805443E-2,2.178029358E-2,3.027201037E-2
4.896787500E-2,1.813863169E-2,-1.930586156E-2,3.330574036E-2,4.255582910E-2
5.900587500E-2,1.794966384E-2,2.184260298E-2,1.369651794E-2,3.141471535E-2
6.904387500E-2,1.255065554E-2,1.082442043E-2,3.240877748E-2,3.640076771E-2
7.908087500E-2,4.036922255E-2,1.828246177E-2,3.495348573E-2,5.644172837E-2
8.911887500E-2,2.294439885E-2,1.397553063E-2,2.252873719E-2,3.506144455E-2
9.915587500E-2,1.360513464E-2,2.475851806E-2,3.225908875E-2,4.288044674E-2
1.091938750E-1,-1.547236987E-2,2.289404199E-3,2.297721863E-2,2.779547044E-2
1.192318750E-1,-3.676512216E-2,-3.140104640E-2,2.836542785E-2,5.605619876E-2
1.292688750E-1,-3.651309803E-2,-4.609264168E-2,1.204935730E-2,6.002436968E-2
1.393068750E-1,-5.376543115E-2,-2.496417560E-2,1.998169005E-2,6.255557199E-2
1.493448750E-1,-5.255290592E-2,-8.026628243E-3,2.552075744E-2,5.897070240E-2
1.593818750E-1,-4.866594190E-3,-5.165750077E-3,2.971204162E-2,3.054789894E-2
1.694198750E-1,1.180652197E-2,-2.891320232E-3,3.899332702E-2,4.084401114E-2
1.794568750E-1,3.420595575E-2,2.770831958E-2,2.147916198E-2,4.898114721E-2
1.894948750E-1,4.709264346E-2,3.799463172E-2,3.285433531E-2,6.885286092E-2
1.995328750E-1,3.312559130E-2,3.115635870E-2,2.491732478E-2,5.185457126E-2
2.095698750E-1,3.581528537E-2,6.526068253E-3,2.955358207E-2,4.689070746E-2
2.196078750E-1,1.183295093E-2,-1.975078898E-2,1.622836232E-2,2.816863747E-2
2.296448750E-1,-2.156412476E-2,-1.448583724E-2,2.670540333E-2,3.725626825E-2
2.396828750E-1,-4.993151234E-2,-2.538339355E-2,4.781092823E-2,7.364344812E-2
