"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.845415682E-4,1.847190608E-1,3.333606365E-2,1.966360152E-2,1.887301825E-1
9.758458356E-3,3.757334897E-2,6.285162512E-2,-9.829052567E-2,1.225688002E-1
1.970245840E-2,-3.205460066E-2,7.749688578E-2,7.100683272E-2,1.098873743E-1
2.964645834E-2,2.519412649E-2,2.970819524E-2,-6.311367631E-2,7.416641431E-2
3.958945838E-2,9.060116300E-2,4.397238647E-3,-2.464192092E-2,9.399537601E-2
4.953345843E-2,-1.305507839E-2,-1.465431014E-2,-5.966674268E-2,6.281165544E-2
5.947645835E-2,-1.521396268E-1,-8.310113135E-3,6.081104279E-5,1.523664259E-1
6.942045840E-2,-1.281304386E-1,-8.973530000E-3,-9.063184261E-5,1.284443138E-1
7.936345844E-2,-1.605353057E-2,-1.258794067E-2,-5.038545728E-2,5.435868283E-2
8.930745837E-2,3.970111420E-2,7.349584624E-4,-3.781102002E-2,5.483057421E-2
9.925045841E-2,-1.306444307E-2,1.510570605E-2,-3.332094312E-2,3.884774483E-2
1.091937501E-1,-1.772450035E-2,4.041873659E-2,-8.390754461E-4,4.414222726E-2
1.191377500E-1,6.091950864E-2,5.005066307E-2,-7.876784205E-3,7.923571881E-2
1.290807500E-1,9.697852925E-2,3.721406955E-2,-3.601826370E-2,1.099410634E-1
1.390247501E-1,1.670963385E-2,1.603447231E-2,-4.125795364E-2,4.731315784E-2
1.489677500E-1,-7.930766797E-2,6.134067262E-3,-2.494071364E-2,8.336289448E-2
1.589117501E-1,-7.246368477E-2,3.621769943E-3,-1.760713577E-2,7.465998967E-2
1.688547500E-1,-1.516296308E-2,-8.492971100E-3,-3.512013137E-2,3.918506904E-2
1.787987500E-1,-2.020926551E-2,-1.270121220E-2,-3.646791458E-2,4.358490562E-2
1.887417501E-1,-5.201541432E-2,7.168969614E-3,-2.329589188E-2,5.744298069E-2
1.986857500E-1,-3.266114878E-2,2.225125940E-2,-1.147223711E-2,4.115193080E-2
2.086297501E-1,4.277148714E-2,2.725345189E-2,-4.186021686E-2,6.576038707E-2
2.185727501E-1,6.763642453E-2,1.565894402E-2,-4.260807574E-2,8.145757527E-2
2.285167500E-1,9.527855180E-3,2.393790246E-2,-2.614114702E-2,3.670371597E-2
2.384597501E-1,-3.288102237E-2,3.162546985E-2,-1.760830522E-2,4.890178307E-2
2.484037500E-1,-3.240168773E-2,8.342862111E-3,-1.626169145E-2,3.720101241E-2
2.583467501E-1,-3.617146075E-2,-3.827697458E-2,-3.886293411E-2,6.545096641E-2
2.682907501E-1,-8.130189741E-2,-4.089763725E-2,-3.422199905E-2,9.723045034E-2
2.782337500E-1,-8.644080511E-2,5.488845287E-4,2.003256083E-3,8.646575679E-2
2.881777501E-1,-7.009178001E-2,6.398375113E-3,-4.883009791E-3,7.055239623E-2
2.981217500E-1,-2.138774442E-3,-6.677063461E-4,-4.410145462E-2,4.415833429E-2
3.080647500E-1,5.490328104E-2,2.748087660E-2,-3.871266067E-2,7.258263528E-2
3.180087501E-1,7.096920954E-2,5.721995702E-2,-2.538802564E-2,9.463246816E-2
3.279517500E-1,7.062755856E-2,6.493874306E-2,-5.396980047E-4,9.594573285E-2
3.378957501E-1,5.241843366E-2,3.189926115E-2,-5.367860913E-2,8.152697792E-2
3.478387501E-1,2.923141876E-2,5.938532716E-4,-1.775156200E-2,3.420448009E-2
3.577827500E-1,-3.992188314E-2,-5.138277300E-3,-4.035338938E-2,5.699609357E-2
3.677257501E-1,-9.262506707E-2,-1.103513033E-2,-6.671673059E-3,9.351838521E-2
3.776697500E-1,-1.030102794E-1,-3.454868938E-2,-2.747898996E-2,1.120706228E-1
3.876127501E-1,-7.528729607E-2,-4.175889557E-2,-4.155089915E-2,9.559529031E-2
3.975567501E-1,-3.043724254E-2,-1.117567364E-2,-1.161373973E-2,3.444125963E-2
4.075007500E-1,-1.597404499E-3,2.994350913E-2,-2.957814038E-2,4.211925722E-2
4.174437501E-1,3.895852695E-2,4.554056859E-2,-2.284331739E-2,6.413678632E-2
4.273877500E-1,7.840198908E-2,2.944596133E-2,-3.032775342E-2,8.907137115E-2
4.373307501E-1,7.565458344E-2,4.011554018E-2,-3.272394240E-2,9.167185482E-2
4.472747501E-1,3.454290155E-2,4.747840438E-2,-1.969985425E-2,6.193137483E-2
4.572177500E-1,-3.232952029E-2,2.185336094E-2,-2.538685620E-2,4.655383695E-2
4.671617501E-1,-6.231016838E-2,-1.173723018E-2,-3.451669872E-2,7.219225822E-2
4.771047500E-1,-6.372953430E-2,-4.003228588E-2,-5.442237496E-2,9.287535923E-2
4.870487500E-1,-6.724005640E-2,1.818305911E-2,2.459338903E-3,6.969861670E-2
4.969927501E-1,-4.505469695E-2,-4.052988393E-3,-4.798517525E-2,6.594641367E-2
5.069357500E-1,3.526254762E-3,-9.625521954E-3,1.667859793E-2,1.957704713E-2
5.168797501E-1,2.409454845E-3,9.786567064E-3,-1.177424580E-1,1.181730459E-1
5.268227501E-1,4.028684076E-2,5.062688333E-2,5.125493824E-2,8.254198658E-2
5.367667500E-1,7.862650389E-3,3.468169983E-2,-4.364712596E-2,5.630020585E-2
5.467097501E-1,-1.127996421E-2,-4.570846134E-3,-5.651977122E-2,5.781535061E-2
5.566537500E-1,-2.245143517E-2,-9.961069906E-3,1.997058034E-2,3.165618319E-2
5.665967501E-1,-5.739839760E-2,6.069482937E-3,-8.017117381E-2,9.878679962E-2
5.765407501E-1,-2.777167051E-2,2.616610275E-2,6.398081839E-2,7.449480343E-2
5.864847500E-1,-3.907054681E-2,-1.199726226E-2,-9.768124580E-2,1.058870517E-1
5.964277501E-1,-1.178426829E-2,-1.763808033E-3,-4.125210643E-3,1.260941556E-2
6.063717500E-1,4.402142085E-2,3.717658798E-2,-2.313567817E-2,6.209060953E-2
6.163147500E-1,4.754617726E-2,5.676462337E-2,-2.987108588E-2,7.984449393E-2
6.262587501E-1,1.227883310E-2,2.232601696E-2,-5.022173524E-3,2.597004048E-2
6.362017500E-1,-1.579355788E-2,2.404489280E-3,-5.741264105E-2,5.959387042E-2
6.461457501E-1,-9.141235454E-3,8.781695645E-3,-3.074465990E-3,1.304349283E-2
6.560887500E-1,-1.032113962E-2,1.740706050E-2,-4.468559146E-2,4.905439595E-2
6.660327500E-1,-4.078830346E-2,3.029830721E-3,-3.669712543E-3,4.106497733E-2
6.759767501E-1,-5.267939307E-2,-2.098722842E-2,-3.495348573E-2,6.661327477E-2
6.859197500E-1,-2.008750638E-2,9.418142228E-3,-1.863741517E-2,2.897520595E-2
6.958637501E-1,6.326714745E-3,2.505607281E-2,-4.168947816E-2,4.904943112E-2
7.058067501E-1,1.922365336E-2,1.148411884E-2,-9.207025766E-3,2.421163269E-2
7.157507500E-1,-1.442904616E-2,1.349126240E-3,-3.001434267E-2,3.332984069E-2
7.256937501E-1,-3.222459018E-2,8.713013702E-3,-3.540313661E-2,4.865925300E-2
7.356377500E-1,-7.173702205E-3,2.288781561E-2,-1.609270692E-2,2.888406694E-2
7.455807501E-1,-7.485715114E-4,8.292685691E-3,-4.902247131E-2,4.972455820E-2
7.555247501E-1,-1.223940094E-2,-2.855496900E-3,-2.791343808E-2,3.061236390E-2
7.654677500E-1,-1.090848329E-2,9.710069038E-3,-3.524760067E-2,3.815329346E-2
7.754117501E-1,-1.728811534E-3,2.247102791E-2,4.869561195E-3,2.305750444E-2
7.853557500E-1,1.425992458E-2,2.077242090E-2,-3.704386532E-2,4.480052318E-2
7.952987500E-1,-5.416056588E-3,7.045163959E-3,-4.482650936E-2,4.569883965E-2
8.052427501E-1,-1.812150802E-2,1.409777398E-3,-2.102658749E-2,2.779377460E-2
8.151857500E-1,-2.213955930E-2,3.427194706E-3,-3.614514828E-2,4.252502197E-2
8.251297501E-1,-7.897971226E-3,1.755317694E-2,-3.000615656E-2,3.564914307E-2
8.350727501E-1,-1.778933136E-3,8.034430621E-3,-3.120191216E-2,3.226880849E-2
8.450167500E-1,-1.294959096E-2,2.156919083E-3,-3.973416924E-2,4.184672522E-2
8.549597501E-1,-1.871425124E-2,1.166485262E-2,-2.356895685E-2,3.227673641E-2
8.649037500E-1,-1.340885321E-3,2.040008574E-2,-3.314845026E-2,3.894587560E-2
