"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.499916657E-3,-8.993047823E-2,-1.387408327E-1,-5.551872790E-2,1.744099731E-1
1.444591666E-2,-5.531704464E-2,-1.317442920E-1,-7.677452624E-2,1.622062322E-1
2.439191667E-2,-2.413700015E-2,-9.821039141E-2,-4.324366808E-2,1.099904113E-1
3.433791664E-2,6.484324615E-3,-6.551637488E-2,1.288901746E-2,6.708627739E-2
4.428391665E-2,2.303326510E-2,-4.219021909E-2,2.800640881E-2,5.563186877E-2
5.422991666E-2,-1.495790854E-3,-2.255881380E-2,1.019169688E-2,2.479935797E-2
6.417591666E-2,-3.089083572E-2,-1.934800719E-2,-5.528542399E-3,3.686670442E-2
7.412579167E-2,-6.385012855E-2,-2.607835797E-2,-5.807045281E-2,9.016150598E-2
8.407179164E-2,-1.020986710E-1,-4.543206163E-2,-7.423858881E-2,1.341625094E-1
9.401779165E-2,-1.120769354E-1,-4.531214803E-2,-5.597831905E-2,1.332216289E-1
1.039637917E-1,-1.329333598E-1,-4.889197333E-2,-5.373474240E-2,1.514896886E-1
1.139097917E-1,-1.503380540E-1,-3.133047325E-2,-5.014221311E-2,1.615468061E-1
1.238557917E-1,-1.634162837E-1,-1.597404955E-2,9.883548617E-3,1.644923602E-1
1.338017916E-1,-1.504784603E-1,9.697122937E-3,2.739654422E-2,1.532591656E-1
1.437477916E-1,-1.205000597E-1,3.730389740E-2,3.745141625E-3,1.261977466E-1
1.536937917E-1,-9.078929717E-2,5.926613075E-2,-2.230069578E-2,1.106909742E-1
1.636397917E-1,-7.221759008E-2,5.743571014E-2,-4.161112547E-2,1.012211780E-1
1.735857917E-1,-5.575761407E-2,4.828774582E-2,-6.616066039E-2,9.908506903E-2
1.835317916E-1,-6.807325722E-2,1.589208347E-2,-7.125183105E-2,9.981658226E-2
1.934777916E-1,-1.030807749E-1,-1.185076210E-2,-6.646354616E-2,1.232213037E-1
2.034237917E-1,-1.214224945E-1,-4.972596444E-2,-2.919222414E-2,1.344183011E-1
2.133697917E-1,-1.183372020E-1,-7.410989982E-2,9.276607633E-3,1.399357927E-1
2.233157917E-1,-1.054050065E-1,-9.704706045E-2,3.382497311E-2,1.472157470E-1
2.332617916E-1,-7.182600936E-2,-1.020094553E-1,-1.801527143E-3,1.247723932E-1
2.432077916E-1,-3.822065402E-2,-8.837885560E-2,-2.814732671E-2,1.003190536E-1
2.531537917E-1,-1.598941220E-2,-7.747029008E-2,-5.135024786E-2,9.430882834E-2
2.630997917E-1,-4.384571202E-3,-5.988059089E-2,-7.455258429E-2,9.572354702E-2
2.730457917E-1,-3.531846162E-3,-4.608962671E-2,-6.736811042E-2,8.170183553E-2
2.829917916E-1,-6.278173719E-4,-4.573857450E-2,-3.578437507E-2,5.807695628E-2
2.929377916E-1,-3.754323581E-3,-6.525303547E-2,-5.548422933E-3,6.559602565E-2
3.028837916E-1,-1.536367790E-2,-7.817703573E-2,2.169433951E-2,8.257321528E-2
3.128297917E-1,-3.729646504E-2,-9.315707233E-2,3.501488149E-2,1.062793882E-1
3.227757917E-1,-6.989178240E-2,-9.887638014E-2,7.355797291E-4,1.210865016E-1
3.327217917E-1,-1.003640580E-1,-9.730041848E-2,-4.162749767E-2,1.458532280E-1
3.426677916E-1,-1.162797130E-1,-7.452302387E-2,-7.470987439E-2,1.570229858E-1
3.526137916E-1,-1.176392089E-1,-4.287043300E-2,-7.276450574E-2,1.448155061E-1
3.625597917E-1,-9.856428500E-2,-4.617861402E-3,-6.393228650E-2,1.175737223E-1
3.725057917E-1,-8.415385857E-2,2.776478633E-2,-4.911310315E-2,1.013156068E-1
3.824517917E-1,-8.520794710E-2,4.558902739E-2,-1.588279188E-2,9.793373650E-2
3.923977916E-1,-9.010997862E-2,5.926756058E-2,2.917351305E-2,1.117297894E-1
4.023437916E-1,-1.142989048E-1,4.716679804E-2,3.231580675E-2,1.278016347E-1
4.122897917E-1,-1.358582558E-1,3.246692986E-2,-1.244170547E-2,1.402368113E-1
4.222357917E-1,-1.574008327E-1,1.142776173E-2,-5.959482193E-2,1.686924974E-1
4.321817917E-1,-1.515554078E-1,-3.949711947E-3,-8.294743180E-2,1.728146935E-1
4.421277916E-1,-1.365648736E-1,-3.332718319E-2,-6.678221941E-2,1.556294659E-1
4.520737916E-1,-1.073008475E-1,-3.635170574E-2,-5.750210345E-2,1.270488500E-1
4.620197917E-1,-9.529031932E-2,-3.926855729E-2,-4.193506122E-2,1.112691058E-1
4.719657917E-1,-7.166862790E-2,-4.399898673E-2,7.013150454E-3,8.438890530E-2
4.819117917E-1,-3.514024488E-2,-4.173303992E-2,3.455529034E-2,6.457980738E-2
4.918577916E-1,-1.833144134E-2,-4.335374191E-2,2.751875103E-2,5.452403449E-2
5.018037916E-1,4.802569463E-3,-5.154061127E-2,-1.723876119E-2,5.455890552E-2
5.117497917E-1,1.005780478E-2,-7.150296897E-2,-4.732619405E-2,8.633424958E-2
5.216957917E-1,1.206737403E-2,-8.762523173E-2,-6.663662374E-2,1.107440399E-1
5.316417917E-1,-1.012416154E-2,-1.000612453E-1,-6.064965963E-2,1.174441683E-1
5.415877917E-1,-4.239090193E-2,-1.154412680E-1,-4.957327902E-2,1.325940606E-1
5.515337916E-1,-5.698732463E-2,-1.212699187E-1,-3.176090598E-2,1.377051325E-1
5.614797916E-1,-5.824109101E-2,-1.138915914E-1,8.504775167E-3,1.282016009E-1
5.714257917E-1,-6.012281637E-2,-8.851346947E-2,3.365189552E-2,1.121687898E-1
5.813717917E-1,-4.869369334E-2,-5.423775370E-2,2.067575455E-3,7.291834176E-2
5.913177917E-1,-5.095995992E-2,-2.789549444E-2,-2.787016869E-2,6.443463686E-2
6.012637916E-1,-6.393357472E-2,5.498936302E-3,-3.355892479E-2,7.241506549E-2
