"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.708658332E-2,-5.091116765E-2,-3.464113934E-2,2.974887908E-2,6.838823972E-2
3.706458333E-2,-2.642214684E-2,-3.800396443E-2,1.552669644E-2,4.882119886E-2
4.704258335E-2,-1.871643252E-2,6.836578245E-3,-1.057217520E-1,1.075831423E-1
5.701958336E-2,-7.770173019E-2,-8.555801259E-3,4.216719568E-2,8.881910268E-2
6.699758332E-2,-6.388856029E-2,-1.147767319E-3,-7.968000770E-2,1.021370116E-1
7.697558333E-2,-8.517821766E-2,-6.735732048E-3,-1.591436684E-2,8.691355431E-2
8.695358335E-2,-4.594995135E-2,-7.201407957E-3,-1.816086709E-2,4.993070597E-2
9.693158331E-2,-8.251619280E-3,1.995819155E-3,-4.270981729E-2,4.354539020E-2
1.069085833E-1,-8.339983042E-3,-3.253803749E-2,-6.934213042E-3,3.429814151E-2
1.168865833E-1,2.410102607E-2,-4.806401673E-2,-5.737755775E-2,7.863328364E-2
1.268645833E-1,4.878600169E-2,-3.659904753E-2,-1.621432900E-2,6.310680396E-2
1.368425833E-1,3.950916108E-2,-2.885696399E-2,3.991894126E-3,4.908801685E-2
1.468195833E-1,1.938001156E-2,-2.448779654E-2,-3.133581340E-2,4.423991669E-2
1.567975833E-1,-5.366397282E-2,-7.347761937E-3,-4.211515546E-2,6.861120830E-2
1.667755833E-1,-6.945534714E-2,1.319003943E-3,-3.568146408E-2,7.809578667E-2
1.767535833E-1,-8.569211483E-2,2.228277954E-2,-3.133990645E-2,9.392470679E-2
1.867305833E-1,-9.276141683E-2,4.494160814E-3,-3.196088076E-3,9.292520063E-2
1.967085833E-1,-8.858931882E-2,-1.208966654E-2,-2.115581095E-2,9.187924566E-2
2.066865833E-1,-4.053394501E-2,-1.365523112E-2,-2.160136878E-2,4.791748291E-2
2.166645833E-1,1.920150931E-2,-1.800560068E-2,-1.126992345E-2,2.863408441E-2
2.266415833E-1,4.885472017E-2,-4.482082203E-2,-4.830969572E-3,6.647577030E-2
2.366195833E-1,7.298136892E-2,-5.222575420E-2,-4.884003818E-2,1.021722024E-1
2.465975833E-1,2.969177964E-2,-3.496385540E-2,-1.381521642E-2,4.790546073E-2
