"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.725083334E-3,6.149055320E-3,-6.729455427E-3,3.876470089E-2,3.982208541E-2
1.276208333E-2,2.449743074E-2,-3.920649458E-3,3.756777585E-2,4.502036636E-2
2.280008333E-2,4.488919790E-2,1.531635656E-2,2.005419552E-2,5.149564666E-2
3.283708333E-2,2.916045275E-2,2.205569744E-2,2.544298947E-2,4.454359109E-2
4.287408333E-2,3.300707554E-2,-1.395254376E-2,2.989096642E-3,3.595935500E-2
5.291108333E-2,1.691435035E-2,-1.132568670E-2,3.187901974E-2,3.782377991E-2
6.294808333E-2,-1.593768261E-3,4.540390363E-3,2.364614010E-2,2.413079326E-2
7.298608333E-2,8.592022019E-3,-2.022525856E-2,3.592003047E-2,4.210858007E-2
8.302308333E-2,1.356958312E-2,-2.388705452E-2,2.170135617E-2,3.500962467E-2
9.306008333E-2,1.778511040E-2,-2.683958779E-2,3.607088864E-2,4.835062184E-2
1.030970833E-1,1.357138753E-2,5.719993031E-4,4.071123898E-2,4.291753397E-2
1.131350833E-1,1.017689612E-2,1.266337432E-2,2.888466060E-2,3.313991373E-2
1.231720833E-1,2.314273138E-2,2.195719470E-2,2.424547970E-2,4.006928625E-2
1.332090833E-1,1.600344552E-2,1.165662997E-2,2.394727170E-2,3.107183794E-2
1.432460833E-1,1.471497957E-2,5.415723114E-3,4.101237059E-2,4.390757590E-2
1.532830833E-1,-8.755565900E-4,1.090057585E-2,3.981427610E-2,4.128880883E-2
1.633210833E-1,1.003711112E-4,-2.052391880E-2,9.876531959E-3,2.277690060E-2
1.733580833E-1,1.059734290E-2,-1.023468762E-2,3.397583127E-2,3.703254809E-2
1.833950833E-1,1.863928811E-2,7.601453438E-3,1.900637448E-2,2.768478691E-2
1.934320833E-1,8.962529926E-3,-8.547852701E-4,1.840761960E-2,2.049141429E-2
2.034690833E-1,1.615834648E-2,-2.756884522E-3,9.277192354E-3,1.883504370E-2
2.135070833E-1,2.440022535E-2,4.315948645E-3,1.391754270E-2,2.842000008E-2
2.235440833E-1,1.793588634E-2,7.093252740E-3,2.005594969E-2,2.782537279E-2
2.335810833E-1,7.577721965E-3,1.255922080E-2,3.757011473E-2,4.033199001E-2
2.436180833E-1,3.150929298E-2,3.355191727E-3,2.379875243E-2,3.962919975E-2
2.536560833E-1,1.999138820E-2,-1.626118896E-2,3.682225585E-2,4.494396950E-2
2.636930833E-1,1.063894036E-2,3.273572819E-3,4.236132324E-2,4.379937257E-2
2.737300833E-1,1.140961709E-2,-9.028987186E-3,1.781354249E-2,2.300052755E-2
