"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.693708324E-3,-7.791455970E-3,4.318817435E-3,-3.906349361E-2,4.006638870E-2
1.467170834E-2,-1.568284679E-2,1.223246651E-2,-4.086034298E-2,4.544394953E-2
2.464970836E-2,-3.256789483E-2,-4.416484209E-3,-5.384116173E-3,3.330408103E-2
3.462870832E-2,-2.717688534E-2,1.465304933E-2,-3.966400266E-2,5.026458055E-2
4.460670834E-2,-5.639364267E-3,1.593288607E-2,-3.787007689E-2,4.147049568E-2
5.458570836E-2,-1.655428749E-2,4.780683517E-3,-3.278007567E-2,3.703286014E-2
6.456370832E-2,-7.736431615E-3,1.543375312E-2,-9.128673077E-3,1.952910089E-2
7.454170834E-2,-1.118873166E-2,-5.596360965E-3,-5.089241087E-2,5.240748474E-2
8.452070836E-2,3.487656286E-3,-3.679506630E-3,-2.484715819E-2,2.535909671E-2
9.449870832E-2,-4.710277102E-3,2.769314423E-3,4.191284180E-3,6.886412406E-3
1.044777083E-1,-1.969204274E-2,1.646049678E-2,-2.335085571E-2,3.469851530E-2
1.144557084E-1,-3.817867055E-2,3.917798940E-3,-3.727132201E-2,5.349870539E-2
1.244337083E-1,-1.216963635E-2,1.753086615E-3,-1.302291870E-2,1.791004671E-2
1.344127083E-1,-2.877077922E-3,1.368466820E-2,-5.688054442E-2,5.857426103E-2
1.443907084E-1,-1.066435405E-2,1.424231898E-2,-2.978747070E-2,3.469676509E-2
1.543687083E-1,-1.452182959E-2,-1.133649948E-2,-3.457692504E-2,3.917861024E-2
1.643477083E-1,-8.191559695E-3,1.967313979E-4,-3.532536864E-2,3.626323239E-2
1.743257084E-1,-1.518874108E-2,5.117410049E-3,-2.005887330E-2,2.567575002E-2
1.843047083E-1,-3.347798197E-3,8.680219045E-3,-4.491831064E-3,1.033104553E-2
1.942827083E-1,-2.451657581E-3,3.574201930E-4,-3.323089600E-2,3.332312745E-2
2.042607084E-1,-1.196955993E-2,3.110243641E-3,-1.436953247E-2,1.895857178E-2
2.142397083E-1,1.956725037E-3,1.161256115E-2,2.693227530E-3,1.208030727E-2
2.242177083E-1,-1.474718380E-2,9.812093815E-3,-3.862085938E-2,4.248914443E-2
2.341967084E-1,-1.810587929E-2,-9.849452041E-4,-4.026802003E-2,4.416227371E-2
2.441747083E-1,-1.016067238E-2,-1.091739116E-3,-2.694513917E-2,2.881790559E-2
2.541527083E-1,-5.747938610E-3,1.106319697E-2,-3.098381102E-2,3.339804891E-2
2.641317084E-1,1.328707923E-2,1.744046272E-2,-3.203163207E-2,3.881677044E-2
2.741097083E-1,8.717764565E-4,2.265704703E-3,-7.333577871E-3,7.724945073E-3
2.840887083E-1,-1.947818083E-2,-3.513728930E-3,-3.053474486E-2,3.638841111E-2
2.940667084E-1,-1.545853298E-2,4.756545480E-3,-8.946239948E-4,1.619849743E-2
3.040447083E-1,-3.825642710E-2,1.367618973E-2,-1.342520714E-3,4.064965857E-2
3.140237083E-1,-1.842671441E-2,-2.859352408E-3,-4.400146723E-2,4.778963087E-2
3.240017084E-1,-7.638347999E-3,1.000623051E-3,-2.439107537E-2,2.557870529E-2
3.339797083E-1,2.538453330E-3,-5.478137573E-3,-1.420873404E-4,6.039364651E-3
3.439587083E-1,-7.716497406E-5,-3.018195676E-3,-4.265309930E-2,4.275982155E-2
3.539367084E-1,-6.821892826E-3,8.082213337E-3,-3.905998528E-2,4.046656452E-2
3.639157083E-1,-6.652920856E-3,1.230281582E-3,-1.960045159E-2,2.073529964E-2
3.738937083E-1,1.811057761E-2,9.693660289E-3,-4.444936395E-2,4.896637649E-2
3.838717084E-1,1.675940942E-2,-4.217176381E-3,-3.546745598E-2,3.945380608E-2
3.938507083E-1,7.248153705E-3,-6.856856206E-3,2.365841925E-2,2.567631225E-2
4.038287083E-1,1.146525814E-2,2.613623170E-3,-3.486928582E-2,3.679878074E-2
4.138077084E-1,3.628639051E-2,-1.664412676E-2,-2.514068842E-2,4.717820796E-2
4.237857083E-1,1.029712150E-2,-8.005770128E-3,-2.244629145E-2,2.596072160E-2
4.337637083E-1,-8.457539486E-3,9.103877228E-3,-3.367411494E-2,3.589368429E-2
4.437427084E-1,-1.602802552E-2,2.418511634E-2,-2.005302608E-2,3.526955216E-2
4.537207083E-1,-3.167736160E-2,9.386133291E-3,-1.196925044E-2,3.513997286E-2
4.636987083E-1,-4.220784753E-2,2.193361854E-2,-3.187843502E-2,5.726098702E-2
4.736777084E-1,-7.140157459E-2,2.480480243E-2,-3.606796503E-2,8.375178314E-2
4.836557083E-1,-3.387354611E-2,1.002303212E-2,-1.040804386E-3,3.534065043E-2
4.936347083E-1,7.560873533E-3,1.808968638E-2,-4.849095941E-2,5.230465281E-2
5.036127084E-1,4.256432669E-2,-2.007156358E-2,-3.906057000E-2,6.115813682E-2
5.135907083E-1,2.560292909E-2,-3.255948946E-2,-1.810297966E-2,4.520340921E-2
5.235697083E-1,4.594827027E-2,-1.349888206E-2,-2.813153923E-2,5.554139768E-2
5.335477084E-1,3.366328389E-2,9.329963475E-4,-2.603531241E-2,4.256670832E-2
5.435267083E-1,7.824194668E-3,-2.635705546E-3,-3.351974845E-2,3.452156575E-2
5.535047083E-1,-4.307039863E-2,2.055500041E-2,-1.765391350E-2,5.088445678E-2
5.634827084E-1,-5.982419724E-2,2.346855833E-2,-3.307243645E-2,7.227374252E-2
5.734617083E-1,-7.160280104E-2,4.373505346E-2,-2.004893303E-2,8.626514785E-2
5.834397083E-1,-6.813728423E-2,1.776333866E-2,-2.798243523E-2,7.577098642E-2
5.934187084E-1,-3.491043560E-2,8.055297872E-3,-3.352033317E-2,4.906362271E-2
6.033962917E-1,1.389950883E-2,-1.182712656E-2,-3.052655876E-2,3.556610828E-2
6.133742917E-1,5.407247392E-2,-2.458852854E-2,-1.675402701E-2,6.171811398E-2
6.233532917E-1,7.615863627E-2,-3.814615684E-2,-4.818807364E-2,9.786397499E-2
6.333312917E-1,8.031071213E-2,-3.500262975E-2,-3.651059926E-2,9.491058123E-2
6.433092917E-1,4.459895674E-2,-1.150116256E-2,-4.130005360E-2,6.186305933E-2
6.532882917E-1,-9.150276940E-3,1.792610139E-3,-1.121437490E-2,1.458434858E-2
6.632662917E-1,-6.624951522E-2,2.772997255E-2,-5.327632070E-2,8.942212250E-2
6.732452917E-1,-1.029938889E-1,2.416703565E-2,-2.857943594E-2,1.095836252E-1
6.832232916E-1,-1.008595364E-1,4.293657049E-2,-2.528569937E-2,1.124969411E-1
6.932012917E-1,-7.819151673E-2,3.461589125E-2,-1.944900870E-2,8.769513758E-2
