"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.695833242E-4,-1.697860577E-2,-2.131207779E-2,-6.628228247E-2,7.166462644E-2
1.051558333E-2,-2.685432460E-2,-3.078104055E-2,-8.095177710E-2,9.067423792E-2
2.046158334E-2,-1.989708815E-2,-2.672166590E-2,-4.712154150E-2,5.770945519E-2
3.040758331E-2,-2.449278038E-2,-2.967196078E-2,-1.823161840E-2,4.257597277E-2
4.035358332E-2,-2.222594278E-2,-3.466892732E-2,-7.306095958E-3,4.182470672E-2
5.030058333E-2,-1.251868771E-2,-4.146386700E-2,-2.814849615E-3,4.340383839E-2
6.024658334E-2,-1.375958565E-2,-2.827053851E-2,3.022425771E-3,3.158614573E-2
7.019258331E-2,-7.412761962E-3,-2.741141807E-2,-2.368122339E-3,2.849461149E-2
8.013858332E-2,-1.140738783E-2,-2.009636857E-2,-3.874189675E-2,4.511016615E-2
9.008458332E-2,-9.496883210E-3,-2.994731896E-2,-8.005539894E-2,8.599941629E-2
1.000305833E-1,3.096100688E-4,-2.347558413E-2,-7.661372781E-2,8.013028265E-2
1.099765833E-1,-1.015923570E-2,-3.077743172E-2,-4.787349343E-2,5.781290294E-2
1.199225833E-1,-1.111364747E-2,-2.382202252E-2,-3.051077127E-2,4.027293236E-2
1.298685833E-1,-1.686357094E-2,-2.920160710E-2,-2.302691996E-2,4.083323309E-2
1.398145833E-1,-2.356829904E-2,-3.644441608E-2,-5.212792754E-3,4.371308033E-2
1.497605833E-1,-3.509264946E-2,-4.034980796E-2,-1.918471456E-3,5.350964008E-2
1.597065833E-1,-1.780762218E-2,-3.732041121E-2,-8.503605723E-3,4.221653481E-2
1.696525833E-1,-1.868981170E-2,-3.657976999E-2,-3.050726295E-2,5.116719385E-2
1.795985833E-1,-1.971024220E-2,-3.488024935E-2,-6.418664038E-2,7.566406179E-2
1.895445833E-1,-1.700163832E-2,-3.204709978E-2,-6.987422705E-2,7.873042560E-2
1.994915833E-1,-7.257554932E-3,-2.902416238E-2,-4.846815526E-2,5.695819678E-2
2.094375833E-1,-6.080099288E-3,-2.142833688E-2,-3.379690647E-2,4.047680961E-2
2.193835833E-1,-1.439200770E-2,-2.787033314E-2,-1.807900608E-2,3.620408562E-2
2.293295833E-1,-1.041592847E-2,-3.008537720E-2,-1.328896701E-2,3.449953813E-2
2.392755833E-1,-1.999839116E-4,-2.904383278E-2,-4.157370329E-3,2.934055119E-2
2.492215833E-1,-2.431783900E-3,-3.359599980E-2,-8.648031950E-4,3.369499458E-2
2.591675833E-1,-1.168150348E-2,-3.295933851E-2,-3.738885105E-2,5.119278954E-2
2.691135833E-1,-2.135332807E-2,-3.865150245E-2,-6.762538791E-2,8.076568795E-2
2.790595833E-1,-1.262933713E-2,-3.465327688E-2,-5.939192355E-2,6.991244766E-2
2.890055833E-1,-4.773849584E-3,-3.769566542E-2,-4.292557955E-2,5.732676696E-2
2.989515833E-1,-4.341795165E-3,-3.319611420E-2,-3.304495454E-2,4.704043158E-2
3.088975833E-1,-6.200149935E-3,-2.390382872E-2,-1.029168427E-2,2.675357269E-2
3.188435833E-1,-5.956768719E-3,-2.791468975E-2,-6.996778250E-3,2.938822729E-2
3.287895833E-1,-1.739258864E-2,-3.268136736E-2,-1.163654387E-2,3.880699763E-2
3.387355833E-1,-7.735921126E-3,-3.054097580E-2,-1.837195158E-2,3.647086897E-2
3.486815833E-1,-1.638114824E-2,-2.863871209E-2,-3.977685392E-2,5.167897015E-2
3.586285833E-1,-8.784198985E-3,-2.872960889E-2,-5.264891446E-2,6.061733062E-2
3.685745833E-1,-1.815032383E-2,-3.344462086E-2,-4.995451748E-2,6.279674145E-2
3.785205833E-1,-2.250080760E-2,-3.580338766E-2,-3.887755215E-2,5.744243180E-2
3.884665833E-1,-2.002216375E-2,-3.321612264E-2,-2.720183194E-2,4.737232847E-2
3.984125833E-1,-1.293585001E-2,-3.159748544E-2,-1.238323331E-2,3.631916531E-2
4.083585833E-1,-1.447413367E-2,-3.478974542E-2,-8.041090965E-3,3.852902900E-2
4.183045833E-1,-1.692493016E-2,-2.650551992E-2,-9.536224008E-3,3.286237081E-2
4.282505833E-1,-1.168467376E-2,-3.435289445E-2,-3.543178797E-2,5.071552580E-2
4.381965833E-1,-1.400127665E-2,-3.069719695E-2,-5.010011315E-2,6.040177967E-2
