"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.372499931E-3,-5.502823787E-2,-1.436276249E-2,-6.768736839E-3,5.727313251E-2
1.531549997E-2,-5.400998181E-2,-2.461300462E-2,-3.790516019E-2,7.042499059E-2
2.525950002E-2,-2.288496966E-2,-1.012589287E-2,-5.542107940E-2,6.080914063E-2
3.520249994E-2,1.959169904E-2,1.699200869E-3,-1.186166167E-2,2.296564766E-2
4.514649999E-2,2.719951132E-2,1.660048735E-2,-2.024364531E-2,3.775175190E-2
5.509049993E-2,3.104123251E-2,2.753522601E-2,-4.299750030E-2,5.975392723E-2
6.503349997E-2,3.258701705E-2,1.199188556E-2,-4.629006743E-2,5.786613295E-2
7.497750001E-2,-3.444183609E-3,-2.130490582E-2,-1.874675810E-2,2.858675134E-2
8.492049994E-2,-4.212378924E-2,-1.686105846E-2,-4.014932156E-2,6.058611172E-2
9.486449999E-2,-5.029317177E-2,-1.799026544E-2,-2.233636379E-2,5.789616503E-2
1.048084999E-1,-4.464322655E-2,-3.106597811E-2,-3.296426296E-2,6.359839075E-2
1.147515000E-1,-1.053307378E-2,-1.680089153E-2,-3.925118923E-2,4.397580534E-2
1.246955000E-1,2.472895307E-2,2.100677091E-2,-2.832449734E-2,4.307067092E-2
1.346384999E-1,3.365187725E-2,2.272928983E-2,-2.338593900E-2,4.686119505E-2
1.445825000E-1,6.132595408E-2,3.986661325E-2,-8.866717815E-3,7.368064997E-2
1.545264999E-1,4.452808209E-2,2.300193453E-2,-5.766524076E-2,7.640104109E-2
1.644695000E-1,1.405639580E-2,3.607092518E-4,-2.473255277E-2,2.845015888E-2
1.744135000E-1,-2.761597926E-2,-8.375423793E-3,-1.485192776E-2,3.245565886E-2
1.843564999E-1,-5.791466106E-2,-2.424438335E-2,-3.760168970E-2,7.318323003E-2
1.943005000E-1,-7.744709308E-2,-5.648983622E-2,-2.413028955E-2,9.885051693E-2
2.042445000E-1,-6.186308479E-2,-4.686674908E-2,-3.999846339E-2,8.731214407E-2
