"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.377541666E-3,-4.168384108E-2,-2.921917615E-4,1.344292420E-1,1.407439132E-1
1.741454167E-2,-7.804529979E-2,-4.341498236E-2,1.033963144E-2,8.990460217E-2
2.745154167E-2,-6.639736298E-2,-7.135529936E-2,-3.546394765E-2,1.037202012E-1
3.748854167E-2,-5.502977276E-2,-7.276681265E-2,-1.735278189E-2,9.286766904E-2
4.752554167E-2,-7.625691975E-2,-2.968023825E-2,3.339286387E-2,8.838052788E-2
5.756254167E-2,-1.749009096E-2,1.953683114E-2,1.662772715E-2,3.104951470E-2
6.759954167E-2,5.824490083E-2,2.350852953E-2,2.515823007E-2,6.766133293E-2
7.763654167E-2,5.953211968E-2,4.206703013E-2,3.024764657E-2,7.892166002E-2
8.767354167E-2,4.699495842E-2,8.965827207E-2,5.913698494E-2,1.172361500E-1
9.771054167E-2,1.231994634E-2,7.731103568E-2,7.126177132E-2,1.058632012E-1
1.077475417E-1,1.702822488E-2,3.166323007E-2,5.644141853E-2,6.691901304E-2
1.177845417E-1,-1.673605596E-2,-3.970835013E-3,3.712923467E-2,4.091996050E-2
1.278215417E-1,-8.018290479E-2,-4.746829509E-2,2.694923222E-2,9.699896070E-2
1.378585417E-1,-8.678084811E-2,-4.129904861E-2,3.907577276E-2,1.037470146E-1
1.478955417E-1,-5.695352498E-2,-2.985694750E-2,2.515647590E-2,6.905063071E-2
1.579325417E-1,-3.562039722E-2,-3.370345609E-2,-2.235975266E-3,4.908905413E-2
1.679695417E-1,-1.982724133E-2,1.239973799E-2,3.024764657E-2,3.823340325E-2
1.780065417E-1,2.614322095E-2,3.377257200E-2,5.854056895E-2,7.246414861E-2
1.880435417E-1,5.024373539E-2,5.794176838E-2,5.030885875E-2,9.172056878E-2
1.980805417E-1,5.683133645E-2,5.841061915E-2,4.821087778E-2,9.468838349E-2
2.081175417E-1,2.896339701E-2,3.221247091E-2,4.506507576E-2,6.250906096E-2
2.181545417E-1,1.073906022E-2,1.146253439E-2,1.317903936E-2,2.050376032E-2
2.281915417E-1,-4.876139313E-3,3.758745538E-3,1.946596563E-2,2.041638363E-2
2.382285417E-1,-1.794199850E-3,-4.614248006E-3,3.263857305E-2,3.301192040E-2
2.482655417E-1,-4.166650043E-2,-2.300925041E-4,2.485709846E-2,4.851830113E-2
2.583015417E-1,-3.100837846E-2,-1.515356186E-3,5.180399179E-2,6.039428288E-2
2.683385417E-1,2.105866495E-2,2.714516876E-2,2.321286142E-2,4.146280854E-2
2.783755417E-1,-1.552309675E-2,1.552784761E-2,5.195484996E-2,5.640378550E-2
2.884125417E-1,1.116555979E-2,1.696533990E-2,3.122413158E-4,2.031231099E-2
2.984495417E-1,2.859889621E-2,2.679041179E-2,4.926045299E-2,6.294612980E-2
3.084865417E-1,2.166361422E-2,1.810234469E-2,2.231706798E-2,3.598692245E-2
3.185235417E-1,-1.214044595E-2,1.259118405E-2,3.758473277E-2,4.145528291E-2
3.285605417E-1,-3.552148791E-2,-2.099520895E-2,4.641812146E-2,6.210649645E-2
3.385975417E-1,-4.017575280E-2,-1.362020264E-2,1.558107555E-2,4.519259838E-2
3.486345417E-1,-1.943139397E-2,-1.354664193E-2,4.102815807E-2,4.737510246E-2
3.586715417E-1,-2.483084994E-2,1.167791292E-2,3.189773083E-2,4.207624022E-2
3.687085417E-1,-1.090030633E-2,1.107935447E-2,-1.465721548E-2,2.136358441E-2
3.787455417E-1,6.003171857E-4,-1.912268382E-2,4.476803720E-2,4.868484951E-2
3.887825417E-1,1.789959705E-2,4.521113737E-2,6.273068368E-2,7.936990105E-2
3.988195417E-1,2.282234964E-2,9.011865808E-2,9.581247568E-2,1.335000475E-1
4.088565417E-1,6.020891662E-2,4.854569026E-2,-6.124958396E-3,7.758423035E-2
4.188935417E-1,7.405068305E-2,-1.726517872E-2,-7.324807048E-3,7.638876132E-2
4.289305417E-1,-1.057487223E-3,-2.586268251E-2,4.072585702E-2,4.825548731E-2
4.389675417E-1,-7.389328332E-2,2.590181317E-2,1.857075691E-2,8.047356247E-2
4.490045417E-1,-9.378265131E-2,-2.331678654E-2,6.347737312E-2,1.156210842E-1
4.590415417E-1,-8.588619671E-2,-8.015284644E-2,1.497822762E-2,1.184283111E-1
4.690785417E-1,-6.835309217E-2,-5.163651018E-2,1.857251108E-2,8.765507721E-2
4.791155417E-1,-2.758821412E-2,3.048956598E-2,3.923306286E-2,5.683270549E-2
4.891525417E-1,3.068885554E-2,6.840940360E-2,3.639014661E-2,8.334203696E-2
4.991895417E-1,7.623354002E-2,4.640223804E-2,2.441504896E-2,9.252467203E-2
5.092265417E-1,6.043778943E-2,4.094260599E-2,7.350534797E-3,7.336929697E-2
5.192635417E-1,3.040654466E-2,6.371728255E-2,5.689691663E-2,9.067364102E-2
5.293005417E-1,-6.356581226E-3,4.887640969E-2,4.222508311E-2,6.490198142E-2
5.393375417E-1,-3.168180412E-2,-1.006792320E-2,5.105496347E-2,6.092379736E-2
5.493745417E-1,-6.734746244E-2,-5.915788417E-2,2.006822884E-2,9.185896671E-2
5.594115417E-1,-8.932855306E-2,-5.739596735E-2,3.952893198E-2,1.132979432E-1
5.694485417E-1,-6.729103681E-2,-1.793796484E-2,4.267473400E-2,8.167611119E-2
5.794855417E-1,-3.849596651E-2,-7.331403438E-3,-5.074213743E-3,3.951501688E-2
5.895225417E-1,-8.230760023E-3,-2.204761641E-2,3.055287123E-2,3.856579754E-2
5.995595417E-1,1.770037145E-2,2.624952151E-2,2.755968153E-2,4.197471352E-2
6.095965417E-1,3.439786320E-2,8.911489215E-2,4.342785537E-2,1.049316712E-1
6.196325417E-1,6.046626720E-2,8.010975977E-2,-7.615998387E-3,1.006565771E-1
6.296695417E-1,4.003254170E-2,-9.086408671E-3,1.064251721E-2,4.240790480E-2
6.397065417E-1,-2.822462873E-2,-1.538427563E-2,9.102477551E-2,9.653401141E-2
6.497435417E-1,-6.991350389E-2,4.778448328E-2,2.366543591E-2,8.792785523E-2
6.597805417E-1,-2.350281936E-2,-1.338170477E-2,6.183605969E-2,6.749185742E-2
6.698175417E-1,-2.683217827E-2,-7.858120624E-2,-3.321803212E-2,8.943382706E-2
6.798545417E-1,-5.039367079E-2,-5.419645774E-2,5.869025767E-2,9.445276297E-2
6.898915417E-1,-5.460827988E-2,3.613252651E-2,6.543034315E-2,9.256756186E-2
