"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.303750270E-4,-3.353477762E-2,-1.501186372E-1,-7.897717237E-2,1.729091678E-1
9.315624979E-3,-4.754010164E-2,-1.394232393E-1,9.929156899E-3,1.476397273E-1
1.926162498E-2,-2.319584054E-2,-1.457839501E-1,-3.702456951E-3,1.476641978E-1
2.920762499E-2,-2.353081747E-2,-1.527006763E-1,-1.927710056E-2,1.557010036E-1
3.915362500E-2,-2.664113421E-2,-1.598305883E-1,-4.727532327E-2,1.687913599E-1
4.909862499E-2,-2.578221477E-2,-1.649782577E-1,-3.635506332E-2,1.708924772E-1
5.904462500E-2,-2.483789401E-2,-1.642760620E-1,-2.034831047E-2,1.673845849E-1
6.899062498E-2,-2.427684453E-2,-1.684734309E-1,-2.559501708E-2,1.721271826E-1
7.893662498E-2,-2.703414932E-2,-1.698462475E-1,-4.581118047E-2,1.779810587E-1
8.888262499E-2,-1.161361982E-2,-1.577241837E-1,-3.713742077E-2,1.624530157E-1
9.882862499E-2,2.723154539E-3,-1.549847266E-1,-7.807202339E-3,1.552051335E-1
1.087746250E-1,-3.336201981E-4,-1.476990777E-1,-1.230838895E-3,1.477045829E-1
1.187196250E-1,-1.863993107E-2,-1.452800297E-1,-3.432081699E-2,1.504382018E-1
1.286656250E-1,-2.906939150E-2,-1.476803118E-1,-3.822090983E-2,1.552911522E-1
1.386116250E-1,-3.160694148E-2,-1.478368710E-1,-4.107259691E-2,1.566578992E-1
1.485576250E-1,-2.939901915E-2,-1.516674916E-1,-2.775965631E-2,1.569647376E-1
1.585036250E-1,-2.324070878E-2,-1.489752508E-1,-2.761756897E-2,1.532856353E-1
1.684496250E-1,-3.039793829E-2,-1.500850523E-1,-3.720466375E-2,1.575872602E-1
1.783946250E-1,-2.123482145E-2,-1.530207565E-1,-3.571420848E-2,1.585615788E-1
1.883406250E-1,-3.745473272E-2,-1.494102471E-1,-3.078266680E-2,1.570791250E-1
1.982866250E-1,-4.872556066E-2,-1.511048981E-1,-2.001794279E-2,1.600237123E-1
2.082326250E-1,-4.072069046E-2,-1.446072528E-1,-3.768998265E-2,1.548869490E-1
2.181786250E-1,-3.807437770E-2,-1.471923068E-1,-4.637894511E-2,1.589535780E-1
2.281246250E-1,-3.222153867E-2,-1.402297713E-1,-3.321276963E-2,1.476675468E-1
2.380696250E-1,-2.360494692E-2,-1.409576400E-1,-1.615644157E-2,1.438307353E-1
2.480156250E-1,-3.188183371E-2,-1.354098566E-1,-3.218132079E-2,1.427862668E-1
2.579580000E-1,-3.157302992E-2,-1.335023670E-1,-3.308646977E-2,1.411185767E-1
2.679040000E-1,-4.165742354E-2,-1.352699072E-1,-3.114636362E-2,1.449254453E-1
2.778500000E-1,-3.710150151E-2,-1.460276328E-1,-3.175038099E-2,1.539762243E-1
2.877960000E-1,-3.685502767E-2,-1.470654039E-1,-4.882015765E-2,1.592794208E-1
2.977420000E-1,-3.227695017E-2,-1.428748141E-1,-5.062110007E-2,1.549758362E-1
3.076870000E-1,-2.792033368E-2,-1.366757240E-1,-3.745726347E-2,1.444397630E-1
3.176330000E-1,-2.252269354E-2,-1.367273988E-1,-1.560972691E-2,1.394464660E-1
3.275790000E-1,-3.233174041E-2,-1.425190111E-1,-1.935779214E-2,1.474168717E-1
3.375250000E-1,-3.216675300E-2,-1.445028982E-1,-2.954364181E-2,1.509589824E-1
3.474710000E-1,-3.400359641E-2,-1.352065928E-1,-3.374018848E-2,1.434415129E-1
3.574170000E-1,-2.499198185E-2,-1.394986684E-1,-1.877716362E-2,1.429582439E-1
3.673620000E-1,-1.180663618E-2,-1.466767286E-1,-3.016110778E-2,1.502103584E-1
3.773080000E-1,-1.325792766E-2,-1.398168848E-1,-3.885065496E-2,1.457185894E-1
3.872540000E-1,-1.864420456E-2,-1.386554999E-1,-3.481607616E-2,1.441704310E-1
3.972000000E-1,-2.428376069E-2,-1.382736767E-1,-2.359585404E-2,1.423589654E-1
4.071460000E-1,-2.861307114E-2,-1.444181684E-1,-1.836435020E-2,1.483663188E-1
4.170920000E-1,-2.670076210E-2,-1.485024303E-1,-2.824789882E-2,1.535051995E-1
4.270380000E-1,-2.276887959E-2,-1.431402960E-1,-2.376133025E-2,1.468746644E-1
4.369830000E-1,-1.314128599E-2,-1.454118479E-1,-2.556461155E-2,1.482256667E-1
4.469290000E-1,-1.391900793E-2,-1.429865325E-1,-2.123182476E-2,1.452228551E-1
4.568750000E-1,-1.959922504E-2,-1.457993721E-1,-2.692525864E-2,1.495545255E-1
4.668210000E-1,-2.327037427E-2,-1.453990023E-1,-3.905413806E-2,1.523404276E-1
4.767670000E-1,-3.425864008E-2,-1.355415103E-1,-4.310275018E-2,1.462976504E-1
4.867130000E-1,-3.148657564E-2,-1.373192284E-1,-2.649314940E-2,1.433522301E-1
4.966580000E-1,-2.672141693E-2,-1.349685563E-1,-2.769709110E-2,1.403484028E-1
5.066040000E-1,-2.906125108E-2,-1.384862778E-1,-3.219126105E-2,1.451181682E-1
5.165500000E-1,-2.897640707E-2,-1.276839489E-1,-2.112248182E-2,1.326234602E-1
5.264960000E-1,-3.589156413E-2,-1.278559484E-1,-8.854438663E-3,1.330930088E-1
5.364420000E-1,-4.935234563E-2,-1.347666812E-1,-1.829476833E-2,1.446803750E-1
5.463880000E-1,-4.321049427E-2,-1.367692612E-1,-3.087505281E-2,1.467182555E-1
5.563330000E-1,-4.016451975E-2,-1.319100057E-1,-4.719697058E-2,1.457428979E-1
5.662790000E-1,-3.967214765E-2,-1.243363083E-1,-5.603503704E-2,1.420328209E-1
5.762250000E-1,-3.661415893E-2,-1.223958732E-1,-3.164045334E-2,1.316148346E-1
5.861710000E-1,-3.249691968E-2,-1.158795351E-1,-4.436984181E-2,1.282684657E-1
5.961170000E-1,-3.210057896E-2,-1.162637520E-1,-2.072487116E-2,1.223814834E-1
6.060630000E-1,-3.353332724E-2,-1.200654106E-1,-2.312339902E-2,1.267867439E-1
6.160090000E-1,-2.873289338E-2,-1.251125079E-1,-6.064732075E-3,1.285126444E-1
6.259540000E-1,-2.530972777E-2,-1.314817337E-1,-3.271517158E-2,1.378343610E-1
6.359000000E-1,-2.566385890E-2,-1.303164567E-1,-3.811039746E-2,1.381789236E-1
6.458460000E-1,-1.733394061E-2,-1.327700946E-1,-4.664850175E-2,1.417901486E-1
6.557920000E-1,-1.658906244E-2,-1.445449434E-1,-2.659547567E-2,1.479045536E-1
6.657380000E-1,-2.196042894E-2,-1.420214678E-1,-2.300996304E-2,1.455397408E-1
6.756840000E-1,-2.292088893E-2,-1.444206169E-1,-2.391277313E-2,1.481705182E-1
6.856290000E-1,-2.646599182E-2,-1.324881309E-1,-2.212060153E-2,1.369046185E-1
6.955750000E-1,-2.891066701E-2,-1.381316076E-1,-1.703410864E-2,1.421489660E-1
7.055210000E-1,-1.179539513E-2,-1.282859197E-1,-2.856423318E-2,1.319557652E-1
7.154670000E-1,-2.313283222E-2,-1.249884738E-1,-2.946704328E-2,1.304820032E-1
7.254130000E-1,-2.140539798E-2,-1.272952369E-1,-4.758756459E-2,1.375748695E-1
7.353590000E-1,-2.372475774E-2,-1.297106669E-1,-3.621765375E-2,1.367458946E-1
7.453050000E-1,-2.227737544E-2,-1.392598096E-1,-1.900871336E-2,1.423056823E-1
7.552500000E-1,-3.627830948E-2,-1.337464974E-1,-1.542086184E-2,1.394347312E-1
7.651960000E-1,-3.686990381E-2,-1.322765073E-1,-3.039148808E-2,1.406417674E-1
7.751420000E-1,-3.497911298E-2,-1.327434441E-1,-2.291172981E-2,1.391736600E-1
7.850880000E-1,-2.239241940E-2,-1.283983598E-1,-1.992263317E-2,1.318501823E-1
7.950340000E-1,-3.785488099E-2,-1.205354902E-1,-4.283026993E-2,1.334025053E-1
8.049800000E-1,-2.790135993E-2,-1.144009387E-1,-4.058961689E-2,1.245535132E-1
8.149250000E-1,-3.068157849E-2,-1.212499651E-1,-3.505405784E-2,1.298911093E-1
8.248710000E-1,-2.648227495E-2,-1.210344404E-1,-2.892208278E-2,1.272286663E-1
8.348170000E-1,-3.027365298E-2,-1.212410938E-1,-3.551423371E-2,1.299121152E-1
8.447630000E-1,-4.254143575E-2,-1.239476786E-1,-3.357529700E-2,1.352778672E-1
