"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.957041650E-3,-1.731572745E-2,3.470920916E-2,3.235849142E-2,5.051371679E-2
1.993504167E-2,-6.397231709E-2,4.915377785E-2,-5.296290994E-2,9.650710367E-2
2.991404169E-2,-1.333482746E-1,1.212648572E-2,-2.392563701E-2,1.360193004E-1
3.989204165E-2,-1.044773549E-1,1.270335009E-3,-1.123910862E-1,1.534564684E-1
4.987104167E-2,-7.665771897E-2,3.219084078E-2,-2.811809063E-2,8.776834924E-2
5.984904169E-2,-8.928246056E-3,2.879231114E-2,-1.474667788E-3,3.018087811E-2
6.982804165E-2,3.295439807E-2,-3.152528146E-2,-6.883459210E-2,8.257140421E-2
7.980604167E-2,3.453949601E-2,-6.006745054E-2,-4.638362288E-2,8.338174783E-2
8.978504164E-2,6.806525384E-2,-2.038506570E-2,4.957854152E-3,7.122506583E-2
9.976304165E-2,8.486532767E-2,1.350420850E-2,-8.365026712E-3,8.633922145E-2
1.097410417E-1,2.644102924E-2,-1.405390159E-2,-1.988930404E-2,3.594752554E-2
1.197200416E-1,-3.321027542E-2,-1.709153926E-2,-3.905179918E-2,5.403782127E-2
1.296980417E-1,-7.137899429E-2,3.091063860E-2,-5.656713367E-2,9.617831884E-2
1.396770417E-1,-8.918915179E-2,5.715797653E-2,-4.189822376E-2,1.139175150E-1
1.496550416E-1,-1.043003396E-1,3.336679808E-2,-1.764865100E-2,1.109205974E-1
1.596340417E-1,-9.276878066E-2,8.970679482E-3,-8.425896227E-2,1.256427176E-1
1.696120417E-1,-9.618452762E-3,1.275335292E-2,-4.279635608E-2,4.568031018E-2
1.795910416E-1,7.651885102E-3,-8.656885000E-3,2.471208751E-2,2.727966775E-2
1.895690417E-1,5.280028425E-2,-3.228550172E-2,-2.588270009E-2,6.708306644E-2
1.995480417E-1,5.939068558E-2,-2.840740903E-2,-5.028196156E-2,8.284026847E-2
2.095260416E-1,2.788435732E-2,-2.307125830E-2,-1.784570217E-3,3.623541132E-2
2.195040417E-1,2.829182146E-3,-3.270000536E-3,-1.855087638E-2,1.904815449E-2
2.294830417E-1,-2.652985895E-2,5.714867581E-3,-4.684204459E-2,5.413566541E-2
2.394610416E-1,-3.675167585E-2,-1.132442133E-2,-6.127882004E-3,3.894199704E-2
2.494400417E-1,-4.645370725E-2,2.227342400E-2,-3.681348503E-2,6.331891513E-2
2.594180417E-1,-2.863239208E-2,2.992958545E-2,-4.160293937E-2,5.870603483E-2
2.693970416E-1,-1.717014662E-2,3.613460502E-3,2.555233240E-3,1.773133522E-2
2.793750417E-1,-6.104043180E-3,1.086403532E-3,-3.336830556E-2,3.393940824E-2
2.893540417E-1,6.095538450E-3,-5.736209918E-4,-2.768013418E-2,2.834915269E-2
2.993320416E-1,2.388102515E-3,-1.645709809E-2,-4.249814808E-2,4.563585982E-2
3.093110417E-1,-1.111783189E-2,-2.419823603E-2,-3.411499500E-2,4.327809719E-2
3.192890417E-1,4.492838053E-3,-1.268462987E-2,-3.800748646E-2,4.031940545E-2
