"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.833083319E-3,4.693651367E-3,2.770623195E-3,-4.215550125E-2,4.250638777E-2
1.377608324E-2,8.502746914E-3,-3.121001604E-3,-5.182971954E-3,1.043554284E-2
2.372008329E-2,-7.427096777E-3,3.627123800E-4,-4.395293534E-2,4.457750387E-2
3.366308333E-2,-3.081637966E-3,1.570638412E-2,-4.140764236E-2,4.439346620E-2
4.360708327E-2,1.611636987E-2,2.033109545E-2,-2.030270219E-2,3.294374806E-2
5.355108331E-2,1.800080870E-2,1.773546160E-2,-2.763744950E-2,3.744868926E-2
6.349408324E-2,1.935931790E-2,-9.922382352E-4,-6.550928056E-2,6.831715426E-2
7.343808329E-2,6.626823088E-3,-6.697026221E-4,-4.096091509E-2,4.149891385E-2
8.338208334E-2,-1.679000566E-2,-4.543492128E-4,-2.641772032E-3,1.700263752E-2
9.332508326E-2,-3.272277296E-2,-1.253719095E-2,-4.470488727E-2,5.680218282E-2
1.032690833E-1,-4.139920045E-2,-1.876101526E-2,-1.701188922E-2,4.853116386E-2
1.132120832E-1,-3.683138299E-2,-1.434976385E-2,-4.590298176E-2,6.057681264E-2
1.231560833E-1,-3.315955997E-3,3.044483021E-3,-1.880990803E-2,1.934107239E-2
1.331000833E-1,7.351338789E-3,1.337089427E-2,-3.033710897E-2,3.395825638E-2
1.430430833E-1,1.797512664E-2,9.289275077E-3,-4.665376425E-2,5.085242892E-2
1.529870833E-1,3.397246912E-2,2.029255179E-2,-1.298081875E-3,3.959294549E-2
1.629300832E-1,3.460949586E-2,2.665149017E-2,-5.368737996E-2,6.921310496E-2
1.728740833E-1,1.991895125E-2,2.387443276E-2,-1.461803913E-2,3.435753522E-2
1.828180833E-1,-3.195832260E-3,-5.237734783E-4,-3.138259113E-2,3.154924260E-2
1.927610832E-1,-1.164076483E-2,-1.016579554E-3,-3.138493001E-2,3.348962036E-2
2.027050833E-1,-2.628974852E-2,-6.294915942E-3,-2.449866414E-2,3.648234352E-2
2.126490832E-1,-3.495933294E-2,-1.661995675E-2,-4.470605671E-2,5.913551749E-2
2.225920833E-1,-2.461209099E-2,-1.287636829E-3,-2.255329549E-2,3.340754659E-2
2.325360833E-1,-2.030088407E-2,4.162217123E-3,-5.324006796E-2,5.713103169E-2
2.424790832E-1,1.213477232E-2,6.412255398E-3,-2.375197470E-2,2.743220773E-2
2.524230833E-1,1.374312208E-2,2.002872359E-2,-3.123641074E-2,3.956938879E-2
2.623670833E-1,1.765162029E-2,2.214295800E-2,-4.560594320E-2,5.368232804E-2
2.723100833E-1,2.049279151E-2,1.301126310E-2,-2.824205160E-2,3.724058203E-2
2.822540833E-1,1.133153848E-2,7.330939772E-3,-3.632582724E-2,3.875193114E-2
2.921970832E-1,2.431217451E-3,-3.059311195E-3,-2.480038047E-2,2.510635526E-2
3.021410833E-1,-1.941199766E-2,-1.265686930E-2,-2.869404137E-2,3.688319405E-2
3.120850833E-1,-3.170889317E-2,-1.621962348E-2,-2.345493615E-2,4.264579840E-2
3.220280833E-1,-3.517965420E-2,-1.670875449E-2,-2.794676721E-2,4.793550191E-2
3.319720833E-1,-2.147774586E-2,1.347054590E-3,-3.438279748E-2,4.056211145E-2
3.419160832E-1,-6.611465011E-3,-2.418650505E-3,-2.405369103E-2,2.506274909E-2
3.518590833E-1,1.783594463E-2,1.843136020E-3,-4.126730919E-2,4.499454277E-2
3.618030833E-1,1.094002171E-2,1.798322137E-2,-3.123582602E-2,3.766639289E-2
3.717460833E-1,1.672669128E-2,2.169940558E-2,-2.599789023E-2,3.776952078E-2
3.816900833E-1,2.815504686E-2,2.063629498E-2,-3.228423178E-2,4.754823820E-2
3.916347499E-1,4.169064760E-3,1.555062435E-3,-4.021597981E-2,4.046139336E-2
4.015777500E-1,-4.707154781E-3,-2.198966502E-3,-3.991543293E-2,4.025213716E-2
4.115217499E-1,-1.957278695E-2,6.965244398E-3,-2.749068439E-2,3.445789237E-2
4.214657500E-1,-2.191599467E-2,-5.454613951E-3,-2.644169390E-2,3.477393869E-2
4.314087499E-1,-9.053234858E-3,-1.360890792E-2,-4.081181109E-2,4.396325012E-2
4.413527499E-1,-1.361229977E-2,-4.309879874E-3,-3.632173419E-2,3.902740248E-2
4.512957500E-1,-1.060823791E-2,1.149582469E-2,-2.689134479E-2,3.111001641E-2
4.612397499E-1,1.323156380E-2,1.542542541E-2,-2.090321124E-2,2.915411240E-2
4.711837500E-1,2.050847850E-2,5.503399372E-3,-3.676904619E-2,4.245995587E-2
4.811267500E-1,2.275605683E-2,9.358379573E-3,-2.973367631E-2,3.859415627E-2
4.910707499E-1,1.460629902E-2,1.464395189E-2,-2.105056107E-2,2.951127614E-2
5.010137500E-1,2.065209160E-3,1.398601907E-2,-2.599028885E-2,2.958663437E-2
5.109577499E-1,7.879406316E-3,-3.824485601E-3,-2.838706255E-2,2.970752521E-2
5.209017500E-1,-1.701564423E-2,-1.174097834E-2,-2.898640215E-2,3.560328960E-2
5.308447500E-1,-2.439035361E-2,-5.519862939E-3,-2.599555135E-2,3.607113702E-2
5.407887499E-1,-2.426502219E-2,-6.451603048E-3,-2.480038047E-2,3.529126458E-2
5.507327500E-1,-1.517485851E-2,-1.059390994E-2,-3.497979820E-2,3.957389974E-2
5.606757499E-1,-1.811778042E-3,-2.282547425E-3,-2.914076865E-2,2.928612231E-2
5.706197500E-1,1.683340296E-2,1.339158565E-2,-1.926189780E-2,2.887418793E-2
5.805627500E-1,7.598347105E-3,2.067729629E-2,-2.240419149E-2,3.142026826E-2
5.905067499E-1,1.990459817E-2,1.287018303E-2,-2.614816368E-2,3.529250775E-2
6.004507500E-1,1.009002842E-2,6.201422161E-3,-2.554999352E-2,2.816147153E-2
6.103937499E-1,1.004312279E-2,5.143443863E-3,-3.123816490E-2,3.321358572E-2
6.203377499E-1,-2.080201786E-3,1.351937700E-2,-1.881400108E-2,2.326085619E-2
6.302817500E-1,-2.368016358E-2,3.255809618E-3,-3.078909874E-2,3.897844334E-2
6.402247499E-1,-3.377919124E-2,-1.301078344E-2,-2.360287070E-2,4.321353667E-2
6.501687500E-1,-2.052886153E-2,-1.116203318E-2,-3.992011070E-2,4.625624692E-2
6.601117499E-1,-7.526654759E-3,-3.851935538E-3,-3.438279748E-2,3.540712784E-2
6.700557499E-1,-1.514300946E-3,7.996026292E-3,-2.675042689E-2,2.796095282E-2
6.799997500E-1,4.894009866E-3,8.257791975E-3,-3.393607020E-2,3.526753921E-2
6.899427499E-1,5.489649279E-3,7.993344795E-3,-2.570319057E-2,2.747150916E-2
6.998867500E-1,9.829288283E-3,1.678504923E-2,-2.585287929E-2,3.235311659E-2
7.098307499E-1,9.333892073E-3,1.886166503E-2,-2.480388880E-2,3.252870806E-2
7.197737499E-1,6.410878105E-3,6.788610520E-3,-2.121019006E-2,2.317448496E-2
7.297177500E-1,1.094799768E-4,-4.405104979E-3,-3.483127892E-2,3.510890096E-2
7.396607499E-1,-6.157474397E-3,-5.115724406E-3,-2.959158897E-2,3.065529751E-2
7.496047500E-1,-1.348539691E-2,1.832238729E-3,-2.285735071E-2,2.660209597E-2
7.595487500E-1,-1.400141370E-2,-3.362658347E-3,-2.614933312E-2,2.985187899E-2
7.694917499E-1,-1.445242588E-2,-1.452794404E-2,-3.737481773E-2,4.262406330E-2
7.794357500E-1,6.604320444E-3,6.403342963E-3,-3.423076987E-2,3.544524588E-2
7.893787499E-1,1.530124060E-2,8.371282776E-3,-1.896193564E-2,2.576356618E-2
7.993227500E-1,1.413557989E-2,6.193229207E-3,-3.961722493E-2,4.251699917E-2
8.092667500E-1,1.109665400E-2,1.166148590E-2,-3.258127034E-2,3.634095706E-2
8.192097499E-1,1.257949876E-2,1.362247986E-2,-2.539562702E-2,3.144445290E-2
8.291537500E-1,1.577240741E-2,3.473458516E-3,-2.734099567E-2,3.175474443E-2
8.390977499E-1,-9.347285852E-3,-8.530859230E-4,-3.452546954E-2,3.577859074E-2
8.490407499E-1,-1.462517456E-2,-6.972754416E-3,-2.015359819E-2,2.585889702E-2
8.589847500E-1,-1.880388723E-2,-4.495912695E-3,-2.674107134E-2,3.299824696E-2
8.689277499E-1,-7.110223370E-3,3.036685211E-3,-2.479336381E-2,2.597089953E-2
8.788717500E-1,7.157266047E-4,1.056989296E-3,-2.314561844E-2,2.318079256E-2
8.888157499E-1,-8.161287792E-3,1.995444568E-3,-2.883437455E-2,3.003347421E-2
8.987587499E-1,-1.890934724E-4,9.655785863E-3,-2.524184525E-2,2.702629661E-2
9.087027500E-1,1.314590209E-2,1.467704804E-2,-2.763686478E-2,3.394151994E-2
9.186467499E-1,1.511815879E-2,1.388525282E-2,-2.688842118E-2,3.382818595E-2
9.285897500E-1,-8.768630773E-4,4.614517526E-3,-5.188468337E-2,5.209686199E-2
9.385337499E-1,-9.743982889E-3,-1.204396232E-3,-2.883262038E-2,3.045842693E-2
9.484767499E-1,-1.186621154E-2,5.186160514E-4,-2.793331861E-2,3.035368557E-2
9.584207500E-1,-1.370590090E-2,9.312901483E-4,-2.074884474E-2,2.488440433E-2
9.683647499E-1,-1.485708975E-2,-3.704606260E-3,-3.407114089E-2,3.735371286E-2
9.783077500E-1,-1.304230588E-2,4.951262330E-3,-3.556744337E-2,3.820549397E-2
9.882517500E-1,-4.711202150E-3,1.717121671E-3,-2.494012892E-2,2.543922096E-2
9.981957499E-1,1.513105921E-2,6.487122600E-3,-3.002837598E-2,3.424521977E-2
1.008138750E0,1.366370045E-2,9.541077653E-3,-2.613705397E-2,3.099797514E-2
1.018082750E0,6.300877361E-3,7.923635021E-3,-3.242398024E-2,3.396762491E-2
