"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.576708325E-3,-6.225739726E-2,-4.224122691E-2,9.692344666E-3,7.585674861E-2
1.552170832E-2,-4.984461724E-2,-5.280049895E-2,1.038471347E-1,1.267146635E-1
2.546770833E-2,-3.121826610E-2,-5.527035371E-2,8.648207366E-2,1.072778691E-1
3.541370833E-2,-2.067132117E-2,-5.783294165E-2,-1.695283234E-2,6.371303778E-2
4.535970831E-2,-4.491899586E-3,-5.590559430E-2,-1.203871536E-1,1.328106901E-1
5.530570832E-2,1.438713121E-2,-4.870197994E-2,-8.865314484E-2,1.021677664E-1
6.525170832E-2,1.134116812E-2,-5.707626170E-2,-1.919816315E-2,6.127716713E-2
7.519770833E-2,7.626004892E-3,-5.874524434E-2,-7.039287508E-2,9.200172033E-2
8.514370833E-2,1.278596714E-2,-6.799696933E-2,-1.073659891E-1,1.277283226E-1
9.508870833E-2,2.162864970E-2,-6.222065573E-2,2.196506560E-2,6.943826463E-2
1.050347083E-1,1.710795258E-2,-6.890227819E-2,8.842627287E-2,1.133993462E-1
1.149807083E-1,1.097925744E-2,-7.786135918E-2,2.465829313E-2,8.240732229E-2
1.249267083E-1,4.517819197E-3,-7.218773731E-2,-4.120415926E-2,8.324219392E-2
1.348727083E-1,-1.400843721E-2,-7.002973101E-2,-6.485497713E-2,9.647055300E-2
1.448187083E-1,-3.113022210E-2,-5.073166726E-2,-6.096307039E-2,8.520145975E-2
1.547647083E-1,-3.484654563E-2,-4.260165751E-2,-4.868918002E-2,7.348346219E-2
1.647107083E-1,-4.473248796E-2,-3.285230706E-2,-5.632330477E-2,7.907328385E-2
1.746553333E-1,-4.592471239E-2,-2.922708817E-2,-6.889774203E-2,8.780774879E-2
1.846013333E-1,-4.031540989E-2,-1.124827961E-2,-6.776338220E-3,4.240017486E-2
1.945473333E-1,-5.499165623E-2,-5.498812962E-3,4.726070523E-2,7.271790328E-2
2.044933333E-1,-5.997050554E-2,-1.231943927E-2,-1.905139804E-2,6.411852997E-2
2.144393333E-1,-6.745876967E-2,-1.396448031E-2,-4.905813932E-4,6.889073222E-2
2.243853333E-1,-7.347057074E-2,-2.102073113E-2,-4.255252719E-2,8.746721370E-2
2.343313333E-1,-7.393126281E-2,-1.559369731E-2,-3.641470492E-2,8.387506036E-2
2.442773333E-1,-5.598491544E-2,-2.124941665E-2,-8.027466953E-2,1.001492438E-1
2.542223333E-1,-5.102749526E-2,-3.031589454E-2,-8.671186924E-2,1.050800029E-1
2.641683333E-1,-4.606769051E-2,-4.124127994E-2,-5.647474766E-2,8.374050635E-2
