"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.620458334E-3,-2.316246116E-2,1.824660646E-2,-7.768025994E-3,3.049230202E-2
1.365745833E-2,-2.623005210E-2,7.793292361E-3,2.935653090E-2,4.013174487E-2
2.369445833E-2,-1.123574921E-2,4.678905420E-3,6.408489883E-2,6.523042599E-2
3.373145833E-2,-2.984506120E-2,2.653085937E-2,9.895827770E-3,4.114051026E-2
4.376845833E-2,-2.663904657E-3,1.806449767E-2,3.489501357E-2,3.938380932E-2
5.380445833E-2,-1.636966394E-2,5.396477552E-4,2.112423599E-2,2.672995442E-2
6.384145833E-2,-1.058894210E-3,5.328270695E-3,2.187034070E-2,2.253494016E-2
7.387845833E-2,-4.531861651E-3,1.728252394E-2,3.953360975E-2,4.338351880E-2
8.391545833E-2,-1.483632757E-2,8.675847338E-3,3.623870373E-2,4.010773729E-2
9.395245833E-2,-1.862172362E-2,9.292047936E-3,1.408477306E-2,2.512949617E-2
1.039894583E-1,-3.180337138E-4,1.916958945E-2,4.866169810E-2,5.230234381E-2
1.140264583E-1,-4.758208282E-3,2.147372133E-2,1.138745248E-2,2.476762661E-2
1.240624583E-1,-8.646894484E-3,7.690664590E-3,3.383900642E-2,3.576301807E-2
1.340994583E-1,-8.322405992E-3,2.632316445E-2,4.386756599E-2,5.183179308E-2
1.441364583E-1,-9.303518529E-3,3.074168604E-2,1.991737068E-2,3.779296724E-2
1.541734583E-1,8.978445316E-4,9.843846937E-3,3.249122322E-2,3.396155228E-2
1.642104583E-1,-2.695332070E-2,2.312772048E-2,4.386932015E-2,5.644369054E-2
1.742474583E-1,-2.392348998E-2,6.427364512E-3,2.845138192E-2,3.772433592E-2
1.842844583E-1,-1.232333589E-2,1.429987751E-2,2.800231576E-2,3.377100520E-2
1.943204583E-1,-2.625337701E-2,2.375935224E-2,4.282032967E-2,5.556372248E-2
2.043574583E-1,-3.478751617E-2,2.023456385E-4,2.755149543E-2,4.437676335E-2
2.143944583E-1,-1.186194490E-3,1.678334075E-2,2.545760751E-2,3.051519890E-2
2.244314583E-1,-1.825251763E-2,2.847470683E-3,3.833083749E-2,4.255015384E-2
2.344684583E-1,-6.957789198E-3,6.981694261E-3,1.931920052E-2,2.168839307E-2
2.445054583E-1,-2.200780052E-2,1.093872436E-2,2.979858041E-2,3.862582515E-2
2.545424583E-1,-2.100881743E-2,1.880430750E-2,2.934951425E-2,4.069848126E-2
2.645784583E-1,-9.868432651E-3,7.508729389E-3,3.129546762E-2,3.366263913E-2
2.746154583E-1,-5.576567226E-3,1.186377215E-2,4.012651742E-2,4.221355933E-2
2.846524583E-1,-2.003110359E-2,2.587604888E-2,3.204215705E-2,4.579863366E-2
2.946894583E-1,-3.172816157E-2,8.900321033E-3,3.009561896E-2,4.462777422E-2
3.047264583E-1,-3.560549139E-2,1.279410984E-2,5.269920051E-2,6.487407801E-2
3.147634583E-1,-3.089094536E-2,5.190545926E-3,1.392748296E-2,3.428070965E-2
3.248004583E-1,-1.800990386E-2,2.146908010E-2,3.967218876E-2,4.857119103E-2
3.348364583E-1,-4.304299895E-3,3.101348564E-2,3.622700930E-2,4.788276821E-2
3.448734583E-1,-2.107607869E-2,7.500337721E-3,1.736623049E-2,2.832034816E-2
3.549104583E-1,-2.201906098E-2,1.070220906E-2,3.487864137E-2,4.261333065E-2
3.649474583E-1,2.341403305E-3,1.377239927E-2,2.574645996E-2,2.929234288E-2
3.749844583E-1,1.462689218E-2,2.871929860E-2,3.203338623E-2,4.544097183E-2
3.850214583E-1,-6.818346810E-3,3.354568176E-2,3.502599120E-2,4.897573560E-2
