"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.142825000E-2,4.501484452E-2,-1.712921726E-2,-5.577015817E-2,7.368891947E-2
2.140525001E-2,1.289325098E-2,1.268180676E-2,-2.703226268E-2,3.252395070E-2
3.138325003E-2,-2.960608824E-2,-4.560161261E-3,-1.436076164E-3,2.998962898E-2
4.136124998E-2,-6.325341563E-2,3.691980385E-2,-5.233258009E-2,9.001536227E-2
5.133824999E-2,-1.052611742E-1,3.371736607E-2,-2.404024243E-2,1.131136986E-1
6.131625001E-2,-7.238763899E-2,2.014782406E-2,-1.730425000E-2,7.710604491E-2
7.129425002E-2,-6.121256834E-2,1.953792293E-2,-1.850292921E-2,6.686604030E-2
8.127224998E-2,-2.325616051E-2,-1.016276230E-2,-3.481841505E-2,4.308657291E-2
9.124924999E-2,2.439970458E-2,-1.851024737E-2,-2.778421462E-2,4.135138962E-2
1.012272500E-1,4.351943282E-2,-3.346164174E-2,1.254227757E-3,5.491079665E-2
1.112052500E-1,6.043728693E-2,-2.347272447E-2,-4.110768020E-2,7.676897692E-2
1.211822500E-1,3.286261049E-2,-2.047563359E-2,-3.542067826E-2,5.247692052E-2
1.311602500E-1,8.678861166E-5,-3.198775054E-2,-2.554239213E-2,4.093455158E-2
1.411382500E-1,-1.496261486E-2,1.831434737E-2,-3.063297808E-2,3.869979986E-2
1.511162500E-1,-4.315879209E-2,4.289252451E-2,-1.401869953E-2,6.244176431E-2
1.610932500E-1,-5.542096976E-2,2.575641850E-2,-3.153169513E-2,6.876863225E-2
1.710712500E-1,-6.016618626E-2,2.513188105E-3,-1.222068071E-2,6.144616441E-2
1.810492500E-1,-4.774267569E-2,7.920684004E-3,-3.033184648E-2,5.711498251E-2
1.910262500E-1,-5.114212924E-3,-3.788566338E-3,5.146719217E-3,8.185177300E-3
2.010042500E-1,1.078923207E-2,-4.303267496E-3,-3.706491530E-2,3.884241993E-2
2.109822500E-1,2.176789109E-2,-2.746090014E-2,5.747812986E-3,3.551027278E-2
2.209602500E-1,4.929576925E-2,-2.572160016E-2,-4.844008863E-2,7.374358120E-2
2.309372500E-1,3.985995290E-2,-2.005950370E-2,-2.209604323E-2,4.979392192E-2
2.409152500E-1,1.551275220E-2,1.039699811E-2,-1.775565505E-2,2.576832041E-2
2.508932500E-1,-6.799255422E-3,1.208953863E-2,-1.236803055E-2,1.858372939E-2
2.608702500E-1,-4.565007141E-2,1.286225731E-2,-1.476246536E-2,4.967189413E-2
2.708482500E-1,-7.041609035E-2,2.384395871E-2,-3.556861281E-2,8.241411508E-2
2.808262500E-1,-7.733845364E-2,3.099120227E-2,-1.102024734E-2,8.404247070E-2
2.908032500E-1,-5.660625519E-2,2.189390316E-2,-2.583826125E-2,6.596382999E-2
3.007812500E-1,-2.768646105E-2,6.491313865E-3,5.788743496E-5,2.843731056E-2
3.107592500E-1,2.130080363E-2,1.923185773E-5,-1.999923170E-2,2.921804021E-2
3.207373333E-1,3.204156548E-2,-2.501416929E-2,-3.287246168E-2,5.227780906E-2
3.307143333E-1,4.034162186E-2,-2.699336043E-2,-2.194460034E-2,5.326962968E-2
3.406923334E-1,2.249850069E-2,-2.864776614E-2,-2.374320388E-2,4.348122317E-2
3.506703334E-1,6.771425188E-3,-1.640010601E-2,-1.431398392E-2,2.279705709E-2
3.606483333E-1,-1.328795403E-2,2.969755149E-3,-3.467281938E-2,3.725041706E-2
3.706253333E-1,-4.160798259E-2,8.479750911E-3,-6.980406046E-3,4.303320183E-2
3.806033334E-1,-2.323735120E-2,2.384383994E-2,-3.332620561E-2,4.710774007E-2
3.905813334E-1,-5.377303710E-2,1.336199326E-2,-2.329706132E-2,6.010686690E-2
4.005583333E-1,-8.099303309E-3,-1.547958981E-3,-8.477293253E-3,1.182621630E-2
4.105363333E-1,6.259316448E-3,-8.996498594E-3,1.757029831E-2,2.070824503E-2
4.205143334E-1,1.925560291E-2,-7.731435215E-3,-5.577425122E-2,5.950899456E-2
4.304913334E-1,2.220987664E-2,-1.761216072E-2,-1.326382399E-2,3.129530081E-2
4.404693333E-1,1.826536209E-2,-1.707064460E-2,-2.478810132E-2,3.520625408E-2
4.504473333E-1,-1.699605434E-3,-2.525174897E-3,-5.697176099E-2,5.705301672E-2
4.604253334E-1,-7.665000795E-3,-3.921645312E-3,-6.676935554E-3,1.089554990E-2
4.704023334E-1,-3.123996874E-3,8.424732266E-3,-3.182522535E-2,3.306932777E-2
4.803803333E-1,-4.186514588E-2,7.200325308E-3,2.752869129E-3,4.256892543E-2
4.903583333E-1,-3.053669774E-2,5.220275363E-3,-1.535829663E-2,3.457771622E-2
5.003353333E-1,-3.555425516E-2,4.638459133E-3,-2.972958326E-2,4.657755344E-2
5.103133334E-1,-1.545236828E-2,-1.483223909E-2,-2.485066652E-3,2.156261946E-2
5.202913333E-1,2.172261857E-2,-4.867048720E-3,-2.927876294E-2,3.678051495E-2
5.302693333E-1,4.604415547E-2,-1.985829553E-2,3.074758351E-2,5.882032001E-2
5.402463333E-1,8.863446458E-3,-7.823017230E-3,-5.098070383E-2,5.233347346E-2
5.502243334E-1,-1.687778698E-2,-8.044398297E-4,-4.124976754E-2,4.457634058E-2
5.602023333E-1,-6.890372629E-3,-1.667983132E-2,9.942605495E-3,2.060459687E-2
5.701793333E-1,5.503771218E-2,-1.451626103E-2,-1.550155342E-2,5.899296361E-2
5.801573333E-1,8.460033117E-3,8.344351323E-3,-8.764391541E-3,1.476532825E-2
5.901353334E-1,-3.397515062E-2,3.348070001E-3,-4.064575016E-2,5.308104595E-2
