Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
0.00827,0.0167,0.021,-0.0237,0.0358,ComeHere
0.0182,0.0114,0.0252,-0.0479,0.0553,ComeHere
0.0282,0.0039,0.00653,-0.0425,0.0432,ComeHere
0.0381,-0.00512,-0.000934,-0.0154,0.0163,ComeHere
0.048,-0.0196,0.00465,-0.028,0.0345,ComeHere
0.058,-0.0274,-0.00424,-0.024,0.0367,ComeHere
0.0679,-0.0199,-0.0123,-0.0368,0.0436,ComeHere
0.0779,0.0038,0.0123,-0.0295,0.0322,ComeHere
0.0878,0.00883,0.0121,-0.0264,0.0303,ComeHere
0.0978,0.0151,0.0135,-0.0335,0.0392,ComeHere
0.108,0.0204,0.0173,-0.028,0.0387,ComeHere
0.118,0.00101,0.0178,-0.022,0.0283,ComeHere
0.128,0.000286,0.0097,-0.0232,0.0252,ComeHere
0.138,-0.00114,0.00488,-0.0302,0.0307,ComeHere
0.147,-0.0209,-0.00212,-0.0365,0.0421,ComeHere
0.157,-0.0177,-0.00349,-0.0404,0.0443,ComeHere
0.167,-0.00284,0.00776,-0.0205,0.0221,ComeHere
0.177,0.00153,0.02,-0.0243,0.0315,ComeHere
0.187,0.0226,0.019,-0.028,0.0407,ComeHere
0.197,0.0238,0.0175,-0.0228,0.0373,ComeHere
0.207,0.00647,0.0179,-0.0286,0.0343,ComeHere
0.217,0.000588,0.00966,-0.0267,0.0284,ComeHere
0.227,-0.011,0.00125,-0.0344,0.0362,ComeHere
0.237,-0.0117,-0.00375,-0.0213,0.0246,ComeHere
0.247,-0.0131,0.00397,-0.035,0.0376,ComeHere
0.257,-0.00885,0.0095,-0.0261,0.0291,ComeHere
0.267,0.000638,0.00962,-0.019,0.0213,ComeHere
0.277,0.0109,0.019,-0.0421,0.0475,ComeHere
0.287,0.0191,0.0151,-0.0286,0.0376,ComeHere
0.297,0.00831,0.0135,-0.0406,0.0436,ComeHere
0.307,-7.34e-05,0.00639,-0.0238,0.0247,ComeHere
0.317,-0.00088,-0.000462,-0.0265,0.0265,ComeHere
0.326,-0.0317,-0.00832,-0.0259,0.0418,ComeHere
0.336,-0.0488,-0.0352,-0.0443,0.0748,ComeHere
0.346,-0.0731,-0.0577,-0.0316,0.0983,ComeHere
0.356,-0.073,-0.0264,-0.0217,0.0806,ComeHere
0.366,-0.0391,0.0132,0.00987,0.0425,ComeHere
0.376,0.0185,0.0214,-0.0531,0.0602,ComeHere
0.386,0.0803,0.0356,-0.0234,0.0909,ComeHere
0.396,0.0967,0.0691,-0.0517,0.13,ComeHere
0.406,0.0863,0.0847,0.00478,0.121,ComeHere
0.416,0.0503,0.0559,-0.0226,0.0785,ComeHere
0.426,-0.000923,-0.00382,-0.0445,0.0446,ComeHere
0.436,-0.0455,-0.0378,-0.0404,0.0716,ComeHere
0.446,-0.0863,-0.0433,-0.0117,0.0973,ComeHere
0.456,-0.101,-0.0467,-0.0162,0.113,ComeHere
0.466,-0.0674,-0.0504,-0.0371,0.092,ComeHere
0.476,-0.0143,-0.0141,-0.0334,0.039,ComeHere
0.486,0.0197,0.0298,-0.0147,0.0386,ComeHere
0.496,0.0625,0.0619,-0.0157,0.0893,ComeHere
0.505,0.0795,0.0643,-0.027,0.106,ComeHere
0.515,0.0693,0.0503,-0.0358,0.0928,ComeHere
0.525,0.0355,0.022,-0.0288,0.0507,ComeHere
0.535,-0.0205,-0.00824,-0.0163,0.0274,ComeHere
0.545,-0.0672,-0.0294,-0.0183,0.0756,ComeHere
0.555,-0.078,-0.0539,-0.027,0.0986,ComeHere
0.565,-0.077,-0.0351,-0.034,0.0912,ComeHere
0.575,-0.0415,-0.0131,-0.0237,0.0496,ComeHere
0.585,0.00758,0.0274,-0.0289,0.0406,ComeHere
0.595,0.0522,0.0394,-0.0177,0.0678,ComeHere
0.605,0.0743,0.0438,-0.0237,0.0895,ComeHere
0.615,0.0607,0.0343,-0.0205,0.0727,ComeHere
0.625,0.0105,0.0341,-0.0249,0.0435,ComeHere
0.635,-0.0359,-0.00421,-0.0334,0.0492,ComeHere
0.645,-0.045,-0.0323,-0.0288,0.0624,ComeHere
0.655,-0.05,-0.0357,-0.0481,0.078,ComeHere
0.665,-0.0647,-0.0301,-0.0336,0.0788,ComeHere
0.674,-0.0408,-0.00679,-0.00706,0.0419,ComeHere
0.684,0.014,0.0114,-0.059,0.0617,ComeHere
0.694,0.0532,0.0259,-0.0252,0.0643,ComeHere
0.704,0.0522,0.0461,-0.0237,0.0735,ComeHere
0.714,0.0525,0.0384,-0.0603,0.0887,ComeHere
0.724,0.0256,0.0264,0.02,0.0419,ComeHere
0.734,-0.00626,0.0112,-0.0609,0.0623,ComeHere
0.744,-0.0258,-0.0185,0.000876,0.0318,ComeHere
0.754,-0.0574,-0.046,-0.0424,0.0849,ComeHere
0.764,-0.0687,-0.0398,-0.0126,0.0804,ComeHere
0.774,-0.0494,-0.0207,-0.0096,0.0544,ComeHere
0.784,-0.0155,-0.00784,-0.0428,0.0462,ComeHere
0.794,0.0215,0.0171,-0.000771,0.0275,ComeHere
0.804,0.0331,0.0334,-0.0391,0.0611,ComeHere
0.814,0.0571,0.0415,-0.0132,0.0718,ComeHere
0.824,0.0487,0.0483,-0.0192,0.0712,ComeHere
0.834,0.0353,0.0275,-0.0382,0.0588,ComeHere
0.844,-0.00234,-0.0109,-0.00765,0.0135,ComeHere
0.853,-0.0379,-0.0139,-0.038,0.0555,ComeHere
0.863,-0.0495,-0.0205,-0.0177,0.0564,ComeHere
0.873,-0.0655,-0.0291,-0.0255,0.0761,ComeHere
0.883,-0.0373,-0.0223,-0.0361,0.0565,ComeHere
0.893,0.000125,0.0127,-0.0163,0.0207,ComeHere
0.903,0.0359,0.0386,-0.0358,0.0637,ComeHere
0.913,0.0755,0.0625,-0.0114,0.0987,ComeHere
0.923,0.124,0.101,-0.0235,0.162,ComeHere
