"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.879408333E-2,1.007048136E-3,-3.823293317E-3,-2.737549424E-2,2.765952644E-2
2.877208334E-2,9.157776679E-3,-1.582656724E-2,8.999449611E-3,2.037977423E-2
3.875008336E-2,4.640496522E-4,-8.277007844E-4,-8.979802966E-2,8.980304317E-2
4.872808332E-2,-8.175935524E-3,-2.269843892E-2,2.067166150E-2,3.177078280E-2
5.870508333E-2,-2.717173705E-4,-2.249305090E-4,-7.198565662E-2,7.198652084E-2
6.868308334E-2,-1.005715839E-2,-9.133332577E-3,-5.342600942E-2,5.512624312E-2
7.866108336E-2,-2.679836035E-3,-1.596381236E-3,1.273640513E-2,1.311281701E-2
8.863908332E-2,-3.425298929E-3,3.000010378E-2,-3.216904163E-2,4.412013304E-2
9.861708333E-2,-8.191522008E-3,6.571005019E-3,-1.330767810E-2,1.695209239E-2
1.085940833E-1,-1.175912526E-2,-5.586004998E-3,-3.187083364E-2,3.442717699E-2
1.185720834E-1,6.109228015E-3,3.188696830E-3,-4.908679068E-2,4.956816997E-2
1.285500833E-1,2.265694424E-2,1.198507904E-2,-3.890737295E-2,4.659144677E-2
1.385280833E-1,3.235534169E-2,1.154675256E-2,3.369165659E-2,4.811780704E-2
1.485060834E-1,2.245275536E-2,6.391696497E-3,2.261761487E-2,3.250440754E-2
1.584840834E-1,3.634296689E-2,-3.811059846E-4,-3.724091649E-3,3.653526164E-2
1.684610833E-1,-1.905326549E-1,4.583033467E-2,-2.932554066E-2,1.981491850E-1
1.784390833E-1,-1.830045292E-1,7.007040570E-2,-1.414371300E-1,2.416712255E-1
1.884135000E-1,1.138040385E-1,3.345720608E-2,8.324037731E-2,1.449127469E-1
1.983915000E-1,3.113260210E-2,-2.048515816E-2,8.400694728E-3,3.820277857E-2
2.083695000E-1,-1.902417879E-2,5.660378840E-5,-1.167449230E-1,1.182848242E-1
2.183475000E-1,-5.480805365E-2,-3.541279365E-2,3.384017587E-2,7.350609636E-2
2.283245000E-1,1.363293678E-1,-3.086014241E-2,-1.089640331E-1,1.772320666E-1
2.383025000E-1,1.682197714E-1,-5.610910025E-2,5.030418098E-2,1.843275162E-1
2.482805000E-1,3.445859658E-2,-1.875811906E-2,-3.426468372E-2,5.208963870E-2
2.582585000E-1,-1.141526422E-1,2.826510699E-2,-7.603192985E-2,1.400378390E-1
2.682365000E-1,-5.443617987E-2,7.489556917E-3,1.063257694E-2,5.596823058E-2
2.782135000E-1,4.664689377E-2,3.704959834E-2,-5.373415768E-2,8.022446720E-2
2.881915000E-1,-4.051727587E-3,1.582481765E-2,2.844494998E-2,3.280177632E-2
