Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
4.750842208,0.2090072251,0.02074783975,-0.3129014665,0.3768578256,Go Away
4.760819208,-0.08991227877,-0.01224771495,0.223058998,0.2408101762,Go Away
4.770797208,0.2116173674,0.1068800672,-0.3543588102,0.4263512933,Go Away
4.780775208,0.0191229305,0.09442224534,-0.3065081209,0.3212918845,Go Away
4.790752208,0.0941983518,0.260491557,-0.8786915016,0.9213185854,Go Away
4.800730208,-0.02124735642,0.3374959519,-0.8722502089,0.9355080943,Go Away
4.810708208,0.09708277415,0.3727180441,-0.7149700481,0.8121120459,Go Away
4.820686208,-0.02875608581,0.32290079,-0.3158051938,0.4525756877,Go Away
4.830663208,-0.3577946341,-0.5292370436,3.756087613,3.810026641,Go Away
4.840641208,0.291769556,-0.7306309381,-0.05403762817,0.7885880463,Go Away
4.850619208,-0.03426261893,0.3551985434,-0.1473755622,0.3860822304,Go Away
4.860596208,0.2433001948,0.1325005014,0.7950944442,0.8419777567,Go Away
4.870574208,0.2614427345,-0.01528992075,0.4444456923,0.5158663184,Go Away
4.880552208,0.09534897421,0.2582902995,0.9258071959,0.9658800493,Go Away
4.890530208,0.1232531298,0.8869376837,1.204381413,1.500794582,Go Away
4.900507208,-0.04834163614,1.344831387,0.4776578772,1.42795848,Go Away
4.910485208,0.2296856475,1.441922503,-0.05150286019,1.461009427,Go Away
4.920463208,0.5724991304,0.522392366,-2.046056532,2.187920558,Go Away
4.930440208,-1.14556756,-1.827098917,-1.964219486,2.916980233,Go Away
4.940418208,-1.172867041,-2.349657709,-0.1441911685,2.630075957,Go Away
4.950396208,0.7165078658,-1.425916919,0.6900170553,1.738604647,Go Away
4.960374208,0.4339815883,-1.183753168,0.8815724248,1.538434763,Go Away
4.970351208,0.8426994042,-0.9109663779,2.119832021,2.456357023,Go Away
4.980329208,1.68171594,-0.9249513097,4.259268002,4.671730658,Go Away
4.990307208,2.768240582,-1.055015094,5.892640332,6.595409225,Go Away
5.000284208,3.132361611,-1.438272817,7.155872217,7.94272152,Go Away
5.010262208,2.772696453,-2.279753077,7.850846542,8.632549515,Go Away
5.020240208,1.420482663,-3.03184505,7.701642555,8.397925545,Go Away
5.030218208,-0.004433505088,-3.133846804,6.765553615,7.456120383,Go Away
5.040195208,-1.342380381,-2.585355464,5.620486357,6.330554072,Go Away
5.050173208,-1.998158772,-1.973435575,5.243606411,5.94831864,Go Away
5.060151208,-0.9464057672,-1.589760872,6.81175422,7.058542276,Go Away
5.070128208,1.818581716,-1.466327319,10.09000679,10.35691036,Go Away
5.080106208,5.098031791,-1.293171091,13.03786301,14.0587372,Go Away
5.090084208,7.912955081,-2.034695392,14.39652321,16.55339011,Go Away
5.100062208,7.778721136,-4.187377947,13.15772509,15.84829221,Go Away
5.110039208,4.261777627,-5.301188622,9.44649556,11.64051664,Go Away
5.120017208,0.6129066065,-4.383744698,6.295640375,7.695970362,Go Away
5.129995208,-0.5539684269,-3.620561433,5.204649922,6.364253838,Go Away
5.139972208,1.548566068,-3.722222294,6.094921834,7.307603426,Go Away
5.149950208,4.376559055,-4.100405585,7.096742833,9.291466728,Go Away
5.159928208,6.393363136,-4.198944032,7.111385431,10.4440426,Go Away
5.169906208,7.065411113,-4.118732513,6.296735559,10.32147617,Go Away
5.179883208,6.663137294,-4.550531262,4.756262037,9.366256559,Go Away
5.189861208,5.988561566,-5.733779084,3.064998178,8.839304613,Go Away
5.199839208,5.500082831,-6.549163951,1.58876743,8.698657457,Go Away
5.209816208,4.786340114,-6.533025051,0.407327275,8.108969325,Go Away
5.219794208,4.42767366,-6.428575653,-0.1323835936,7.806945906,Go Away
5.229772208,5.126772611,-6.521441132,-0.1115482101,8.296109621,Go Away
5.239749208,6.024156491,-6.691651826,-0.1607250479,9.005248366,Go Away
5.249727208,6.041788185,-6.593958886,-0.4837211475,8.956421406,Go Away
5.259705208,5.277767599,-6.703262057,-0.6551543476,8.55673888,Go Away
5.269683208,4.253452361,-7.265185329,-0.6723948629,8.445524833,Go Away
5.279660208,3.850876241,-7.380582469,-0.6432597953,8.34961248,Go Away
5.289638208,2.82235744,-7.514318231,-1.056100118,8.096050114,Go Away
5.299616208,1.680547666,-7.645337377,-1.875324851,8.049364407,Go Away
5.309593208,1.209398909,-7.322441849,-2.702951449,7.898528147,Go Away
5.319571208,1.268487947,-6.738353537,-3.545010145,7.718909702,Go Away
5.329548875,0.5328415596,-6.215556909,-4.34187688,7.600589626,Go Away
5.339526875,-1.51918264,-6.377667455,-4.741283809,8.090879447,Go Away
5.349503875,-2.445134262,-6.337946734,-5.250285101,8.585670854,Go Away
5.359481875,-2.758859602,-5.766047528,-5.79339671,8.626821885,Go Away
5.369459875,-3.336884351,-5.196354477,-6.14135048,8.709367528,Go Away
5.379436875,-4.372356076,-4.77210916,-6.297774024,9.030641237,Go Away
5.389414875,-6.058278503,-4.713603675,-6.032869427,9.7630073,Go Away
5.399392875,-7.891057844,-4.902554402,-5.546772848,10.81991324,Go Away
5.409370875,-9.611648412,-5.279067435,-5.115861121,12.10059392,Go Away
5.419347875,-11.31789284,-5.582064303,-5.145665549,13.62835332,Go Away
5.429325875,-12.80344229,-5.860014038,-5.760336553,15.21346036,Go Away
5.439303875,-13.95537886,-6.005946507,-7.061872963,16.75392618,Go Away
5.449280875,-14.74167968,-5.938418183,-8.397500979,17.9749813,Go Away
5.459258875,-15.09382707,-5.717851853,-9.311403828,18.63383178,Go Away
5.469236875,-15.23205057,-5.8712442,-9.24920758,18.76258814,Go Away
5.479214875,-15.0395076,-6.084013853,-9.290021145,18.69509311,Go Away
5.489191875,-14.61301053,-6.642459201,-8.530370768,18.1777217,Go Away
5.499169875,-14.89802487,-7.658404149,-6.857059032,18.10031927,Go Away
5.509147875,-15.16179276,-8.480181193,-5.128298149,18.11333417,Go Away
5.519124875,-15.02403938,-9.379362507,-3.388264127,18.03259643,Go Away
5.529102875,-14.71060757,-10.4186741,-1.42134235,18.08233832,Go Away
5.539080875,-14.03828536,-11.38482825,0.4711049026,18.08064462,Go Away
5.549058875,-12.92728866,-12.99395393,2.349918787,18.47917068,Go Away
5.559035875,-11.35505423,-14.93865132,4.727929938,19.35081087,Go Away
5.569013875,-9.649657068,-16.38675872,7.512639495,20.44704123,Go Away
5.578991875,-8.135829307,-16.918432,9.357320259,20.97580755,Go Away
5.588968875,-6.939689544,-16.33500735,9.346956654,20.05884729,Go Away
5.598946875,-6.118100781,-16.01573417,8.500835313,19.1363293,Go Away
5.608924875,-5.196255659,-16.16570824,7.869252992,18.71513661,Go Away
5.618902875,-4.17704504,-16.45874964,7.206280478,18.44637154,Go Away
5.628879875,-2.840215421,-16.73632866,6.417151363,18.1480399,Go Away
5.638857875,-1.039015138,-17.0070524,5.515134734,17.90910648,Go Away
5.648835875,1.43833699,-17.35789704,4.858899382,18.08243087,Go Away
5.658812875,5.462501022,-17.37230224,4.803119576,18.83363375,Go Away
5.668790875,10.2833859,-16.9739326,4.829281189,20.42509169,Go Away
5.678768875,13.87083514,-16.27943775,4.259108373,21.807342,Go Away
5.688746875,15.29666932,-14.96485152,2.595268833,21.55621242,Go Away
5.698723875,15.38401269,-13.66835775,0.6900383976,20.59048331,Go Away
5.708701875,16.69936256,-12.49206636,0.08570044711,20.85492212,Go Away
5.718679875,19.38964777,-11.2572537,0.3459600158,22.42328901,Go Away
5.728656875,21.50736193,-9.87169865,0.5305124675,23.67062515,Go Away
5.738634875,21.94318766,-8.721113375,0.4241111228,23.61654448,Go Away
5.748612875,20.53705158,-7.937163724,0.2163969728,22.01853499,Go Away
5.758590875,17.93928335,-7.30905231,-0.1291989076,19.37154679,Go Away
5.768567875,15.14104217,-6.497040117,-0.3088370669,16.47901904,Go Away
5.778545875,12.36372232,-5.629006335,-0.205202917,13.58637001,Go Away
5.788523875,10.00442928,-4.68547389,-0.4329737476,11.05575583,Go Away
5.798500875,8.372217618,-3.506398641,-1.006077041,9.132417549,Go Away
5.808478875,7.19125138,-2.598007962,-1.444659,7.78143826,Go Away
5.818456875,6.161445606,-1.976486945,-1.754580871,6.704361762,Go Away
5.828434875,5.193036182,-1.335312851,-1.773974185,5.647802193,Go Away
5.838411875,4.47976475,-0.6303555751,-1.274525636,4.700005953,Go Away
5.848389875,3.994262248,-0.001518521905,-0.4047945535,4.014721889,Go Away
5.858367875,3.639724513,0.4031432998,0.6867874919,3.725828245,Go Away
5.868344875,3.778521041,0.706586895,1.738228694,4.218758738,Go Away
5.878322875,4.408814051,0.683623125,2.58636557,5.156963135,Go Away
5.888300875,4.769960309,0.205935427,3.020418714,5.649589362,Go Away
5.898278875,5.312367328,-1.044350138,3.060045587,6.21898648,Go Away
5.908255875,5.386492481,-1.77474631,2.983040096,6.408007017,Go Away
5.918233875,5.21295823,-1.800157725,3.003617909,6.279906201,Go Away
5.928211875,4.784812236,-1.280551922,3.159564905,5.875124829,Go Away
5.938188875,4.551619429,-0.5981637293,3.777068592,5.944853777,Go Away
5.948166875,4.215323545,-0.7736316544,4.567997188,6.263709511,Go Away
5.958144875,3.724846525,-1.446331011,4.761866593,6.216247137,Go Away
5.968121875,3.611898199,-1.827182971,4.239423429,5.861494453,Go Away
5.978099875,3.448681068,-2.116775681,3.47985579,5.336996975,Go Away
5.988077875,3.100420903,-2.497310722,2.98412797,4.975358315,Go Away
5.998055875,2.90860504,-3.124100665,2.877249931,5.147674758,Go Away
6.008032875,2.617940827,-3.516914274,3.074771507,5.355046219,Go Away
6.018010875,2.064749788,-3.668793361,3.305585375,5.352581721,Go Away
6.027988875,1.501257708,-4.083543969,3.327847479,5.477561035,Go Away
6.037965875,0.9919346733,-4.563676972,2.886809252,5.490423441,Go Away
6.047943875,0.555725369,-4.60776147,2.345514665,5.200166872,Go Away
6.057921875,0.01735702112,-4.55333968,2.229577827,5.069933017,Go Away
6.067899875,-0.614350284,-4.395098237,2.256458062,4.978545748,Go Away
6.077876875,-1.175966869,-3.959707543,2.004872838,4.591480915,Go Away
6.087854875,-1.320859996,-3.426458432,1.553342659,3.987249921,Go Away
6.097832875,-0.7546194327,-3.259521595,1.153951517,3.539143345,Go Away
6.107809875,0.3581925371,-3.659422613,1.1598268,3.855499185,Go Away
6.117787875,0.8967228529,-4.228231566,1.141791648,4.470541602,Go Away
6.127765875,0.3265886289,-4.27585129,0.4873701024,4.315911724,Go Away
6.137743875,-0.7968065089,-3.822069349,-0.3556340879,3.920406908,Go Away
6.147720875,-1.8601753,-3.624341658,-0.902563929,4.172616236,Go Away
6.157698875,-2.744034571,-3.677884027,-0.9292050129,4.681877679,Go Away
6.167676875,-3.3498219,-3.610893647,-0.6568534023,4.96903573,Go Away
6.177653875,-3.462514118,-3.310089485,-0.2673914176,4.797623848,Go Away
6.187631875,-3.426934395,-3.024322023,-0.05802192092,4.570970312,Go Away
