"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.988291665E-3,9.716486129E-3,1.816218272E-2,-3.748825371E-2,4.277433986E-2
1.896629168E-2,3.788944351E-3,4.496627608E-3,-7.072031915E-2,7.096435232E-2
2.894429170E-2,-1.768778509E-2,-7.527988655E-3,8.763806820E-3,2.112658668E-2
3.892129171E-2,6.062601039E-3,1.486151171E-2,-8.162713051E-4,1.607127750E-2
4.889612499E-2,1.045831050E-2,-8.197677573E-3,-3.090370417E-2,3.363951705E-2
5.887412501E-2,1.127164564E-2,-5.615876047E-3,4.124041200E-3,1.325125560E-2
6.885212503E-2,1.708849231E-2,1.233253612E-2,-5.649872124E-2,6.030102419E-2
7.883012498E-2,1.760692450E-2,-2.312464155E-3,-3.808817804E-2,4.202452364E-2
8.880812500E-2,1.961182397E-2,-1.109985170E-2,1.100855291E-2,2.508024291E-2
9.878612502E-2,-3.997374749E-3,-2.080430193E-3,-5.260973811E-2,5.280238384E-2
1.087641250E-1,-1.541485931E-2,-7.983093895E-4,-4.093577206E-2,4.374920136E-2
1.187411250E-1,3.367389796E-3,-4.878788833E-3,1.504722476E-2,1.617284352E-2
1.287191250E-1,1.185301990E-2,1.123145973E-2,-4.303141415E-2,4.602545353E-2
1.386971250E-1,7.711832196E-3,2.922904333E-3,-3.060666561E-2,3.169832338E-2
1.486751250E-1,5.559788458E-3,-4.306693599E-3,-2.167562842E-3,7.359156618E-3
1.586531250E-1,1.104327875E-2,4.689832404E-3,-4.018732846E-2,4.194007513E-2
1.686311250E-1,7.019776537E-4,-4.965291079E-3,-6.657055020E-3,8.334462770E-3
1.786091250E-1,4.885497142E-4,3.007022012E-3,-1.952794611E-2,1.976414789E-2
1.885871250E-1,1.501934085E-2,-6.746499147E-4,-4.242973566E-2,4.501464451E-2
1.985641250E-1,-5.179526437E-3,5.403192714E-5,-1.024666071E-2,1.148148376E-2
2.085421250E-1,-6.567873561E-4,-7.790610865E-3,-2.835958064E-2,2.941752541E-2
2.185201250E-1,1.948211171E-2,-1.054318763E-2,-4.123339534E-2,4.680709747E-2
2.284981250E-1,1.853190491E-4,9.565405268E-4,-7.703706622E-3,7.765076217E-3
2.384761250E-1,7.038529882E-3,-2.891904954E-4,-3.015759945E-2,3.096942587E-2
2.484541250E-1,1.126839198E-2,7.327639293E-3,-3.988561213E-2,4.208958316E-2
2.584321250E-1,1.983529724E-3,-2.073101074E-2,4.422833920E-3,2.129015397E-2
2.684101250E-1,7.300769510E-3,4.561833199E-3,-3.389747858E-2,3.497357019E-2
2.783881250E-1,-1.300287143E-2,2.418202828E-2,-2.117510676E-2,3.467319287E-2
2.883651250E-1,-3.901650575E-3,-1.323798660E-2,-1.608569026E-2,2.119473042E-2
2.983431250E-1,2.995158560E-3,-1.098671721E-2,-4.063347101E-2,4.219902720E-2
3.083211250E-1,2.699615156E-2,-7.476432659E-3,-1.024724543E-2,2.982776028E-2
3.182991250E-1,1.624667027E-2,-1.311292928E-3,-7.253471017E-3,1.784058928E-2
3.282771250E-1,-2.480296375E-3,1.701333275E-2,-1.818133235E-2,2.502331328E-2
3.382551250E-1,-2.628519409E-2,-1.642948827E-3,-2.401977718E-2,3.564492116E-2
3.482331250E-1,-2.002310021E-2,-6.112213293E-3,-3.524760067E-2,4.099606136E-2
3.582111250E-1,-2.772153064E-2,9.120761063E-3,-2.776491880E-2,4.028104094E-2
3.681881250E-1,-2.491907209E-2,9.043413363E-3,5.268341303E-4,2.651454381E-2
3.781661250E-1,-2.920649501E-2,1.794821117E-3,-5.710156918E-2,6.416252750E-2
3.881441250E-1,-7.147672959E-3,-8.007853199E-4,-3.513591886E-3,8.004736960E-3
3.981221250E-1,3.960627967E-2,-7.563117631E-3,-1.563720882E-2,4.324789518E-2
4.081001250E-1,4.189160910E-2,-5.754847918E-4,-2.536872983E-2,4.897765356E-2
4.180781250E-1,2.069683650E-2,-2.201462989E-2,7.835268974E-5,3.021604060E-2
4.280561250E-1,1.870247115E-2,-1.118114627E-2,-2.851160824E-2,3.588470794E-2
4.380341250E-1,1.504531870E-2,-1.553453537E-2,-2.166393399E-3,2.173422794E-2
4.480111250E-1,1.557530142E-2,6.545062568E-3,-2.656448543E-2,3.148173668E-2
4.579891250E-1,-1.843262215E-2,7.882302515E-3,-1.414032161E-2,2.453244683E-2
4.679671250E-1,-4.093000250E-2,-6.813102588E-4,-9.947867990E-3,4.212706216E-2
4.779451250E-1,-5.666574376E-3,1.679000566E-3,-3.823728204E-2,3.869132778E-2
4.879231250E-1,-9.803221350E-3,1.553714834E-3,-2.012611628E-3,1.012757544E-2
4.979011250E-1,-1.767030854E-3,-7.474934310E-3,-3.209770560E-2,3.300393531E-2
5.078791250E-1,-5.294642353E-3,-1.986895756E-2,-2.072136283E-2,2.919218371E-2
5.178571250E-1,1.999556805E-2,-6.156871403E-3,-1.847544730E-2,2.791186056E-2
5.278341250E-1,1.664389721E-2,-7.806160804E-3,-1.428416312E-2,2.328073832E-2
5.378121250E-1,1.073603840E-2,-8.437577868E-3,-2.042140067E-2,2.456600997E-2
5.477901250E-1,6.960040148E-3,6.480724923E-3,-3.404190481E-2,3.534534251E-2
5.577681250E-1,-1.290274814E-2,1.397910291E-2,-2.700653493E-2,3.303406056E-2
5.677461250E-1,-1.394128216E-2,2.891324800E-2,-3.793381155E-2,4.969214542E-2
5.777241250E-1,-2.472312870E-2,1.378746042E-2,-1.098984182E-2,3.036616177E-2
5.877021250E-1,-2.135609179E-2,1.651288418E-2,-1.143715382E-2,2.931836435E-2
5.976801250E-1,-1.022501916E-2,7.893741131E-5,-1.892158985E-2,2.150776163E-2
6.076571250E-1,9.150186719E-3,2.651063623E-3,-1.128629565E-2,1.476937794E-2
6.176351250E-1,2.548839675E-2,-5.398688531E-3,-1.158391893E-2,2.851300378E-2
6.276131250E-1,3.164308915E-2,-1.992746626E-2,-1.382924974E-2,3.987025396E-2
6.375911250E-1,2.547268693E-2,-1.581599657E-2,-2.251061082E-2,3.749308105E-2
6.475691250E-1,2.259529951E-2,-7.546672337E-3,-1.502851367E-2,2.816657676E-2
6.575471250E-1,-9.257660141E-3,5.388748264E-3,-2.939863086E-2,3.128933325E-2
6.675251250E-1,3.125503503E-3,2.070389427E-3,-3.568614185E-2,3.588253063E-2
6.775031250E-1,-3.098586211E-2,2.160007143E-3,-2.416011035E-2,3.935098746E-2
6.874801250E-1,-3.772947420E-2,5.920908842E-3,-1.517878711E-2,4.109703107E-2
6.974581250E-1,-2.302576651E-2,1.066137448E-2,-2.161657155E-2,3.333357158E-2
7.074361250E-1,-2.075873476E-3,1.414310818E-2,-1.772408009E-2,2.277015095E-2
7.174141250E-1,-1.106590587E-2,-1.590616247E-3,-1.907186329E-2,2.210701930E-2
7.273921250E-1,-1.105154593E-3,3.902285546E-4,-1.473089039E-2,1.477744148E-2
